"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"HTRA4"	"HTRA4"	0.474983731113133	1.1297013260993	0.718879588169672	-0.834613320972658	-0.754034714647921	-0.97122019993	"IS02"	1.1297013260993
"CYP27A1"	"CYP27A1"	0.264047389297219	1.12617131799869	0.694205172698413	-0.71726129669229	-0.994437627506285	-0.684138016095524	"IS02"	1.12617131799869
"SLC31A2"	"SLC31A2"	-0.25738930905123	1.12403722115055	1.07746920235052	-0.38427142066771	-0.611903949392567	-0.898784268520604	"IS02"	1.12403722115055
"ALOX15B"	"ALOX15B"	0.31908370365971	1.09780793643818	0.131342879056353	-0.318608688836944	-0.405447548200672	-1.07656191016384	"IS02"	1.09780793643818
"TNFSF15"	"TNFSF15"	-0.66880511119267	1.09497547459631	0.597016409028341	-0.294777334343112	-0.51141210184006	-0.41265720800409	"IS02"	1.09497547459631
"PTGDS"	"PTGDS"	0.618294241128122	1.09361226430746	0.17712352350268	-0.192962103350356	-0.235105429142171	-1.53952583135998	"IS02"	1.09361226430746
"ALAS1"	"ALAS1"	0.194062613107217	1.09010622915882	0.134339774432957	-0.197595421620974	-0.621085628431774	-0.889644387530587	"IS02"	1.09010622915882
"TNS3"	"TNS3"	-0.0589550185622499	1.0872379804804	0.118987824628765	-0.88231172475653	-0.200756084961175	-0.538553672587828	"IS02"	1.0872379804804
"APOE"	"APOE"	0.944553303252023	1.08268545720256	-0.321182896002747	-0.465673671594952	-0.844040015673889	-0.971317908923021	"IS02"	1.08268545720256
"STEAP3"	"STEAP3"	-0.276832544032668	1.06299354513702	0.810728142426503	-0.266132095154667	-0.0602644466571568	-1.13872590516545	"IS02"	1.06299354513702
"LITAF"	"LITAF"	-0.599033671578905	1.05786612464529	0.235554113456478	0.777094216837638	-0.569821281367351	-0.869831833579852	"IS02"	1.05786612464529
"SDC4"	"SDC4"	-0.437314052075488	1.04468572185173	0.305235338007666	0.625250859920535	-0.444361737291652	-1.01837558644011	"IS02"	1.04468572185173
"PTPMT1"	"PTPMT1"	-0.0211216269153346	1.03498853909097	0.010267644025221	-0.520420306339547	0.060273095379049	-0.861226232544497	"IS02"	1.03498853909097
"FAM20A"	"FAM20A"	0.228054387108204	1.03456557741595	0.51738898171704	-0.812925314575481	-0.764987815403132	-0.566381966238061	"IS02"	1.03456557741595
"SLC29A3"	"SLC29A3"	0.126667073779245	1.02618259531183	0.345764006561848	-0.486249695565677	-0.389114171903545	-0.848430679596085	"IS02"	1.02618259531183
"ITGB2"	"ITGB2"	0.424312948785901	1.02415487413029	0.474983897305893	-1.13360051734108	-0.620080081487997	-0.60271867389435	"IS02"	1.02415487413029
"FABP3"	"FABP3"	0.525653389931135	1.01558757186701	-0.0988176168792867	-0.482141928324143	0.111005813402508	-1.30352722520349	"IS02"	1.01558757186701
