"LP26"	"LP27"	"LP41"	"LP49"	"LP54"	"LP103"	"LP110"	"LP111"	"LP113"	"LP119"	"LP01"	"LP02"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP13"	"LP14"	"LP30"	"LP37"	"LP50"	"LP65"	"LP112"	"LP115"	"LP116"	"LP120"	"LP121"	"LP03"	"LP04"	"LP12"	"LP15"	"LP17"	"LP19"	"LP21"	"LP24"	"LP25"	"LP28"	"LP29"	"LP31"	"LP33"	"LP44"	"LP46"	"LP47"	"LP55"	"LP60"	"LP62"	"LP63"	"LP68"	"LP69"	"LP72"	"LP79"	"LP90"	"LP114"	"LP117"	"LP118"
"CXCR6"	1.29052971923826	0.557864608836183	1.42829220938709	1.19420855721281	0.205490993513467	1.1269140093583	0.313585877777181	-0.395029416164475	1.07476406020681	0.994546803546872	0.888836353868404	0.406890889607321	-0.38311640179583	0.367570840666078	0.919902325220418	1.49421032074923	1.21144950724508	-0.652384547560226	-0.663165681341397	-0.495159234893615	-0.607004046049643	-0.077265335659506	-1.45538036786187	0.384156307417736	0.114582548005296	-0.471654699637667	0.132808970650789	-0.0282110074936135	1.45661416568033	1.4008211344107	0.609936517703384	0.00386533444958165	0.248722417776101	1.06645759589696	1.01320723947994	-0.388762846548901	0.996934630269454	1.61273687029994	0.595731752934256	0.0372781068116189	0.357738386601012	-0.742513055592909	0.713484818472858	-0.744326945754525	0.19022489796234	0.920561609407146	-0.188576074306908	0.923011806045109	1.37661241793941	0.300090323274765	1.12084084096775	0.158369279604038	0.0429129893062536	-0.49861180619544	1.07082609950608	0.881472116763345	1.72958687211602
"HAX1"	0.896679628730455	0.894897875561719	0.185276838468907	1.01717561126634	0.764044162232413	0.966172002912183	0.666973018623901	0.759155372189262	0.703631444253574	0.898127736277155	-1.74963058843161	-1.32821133103312	-0.631919445309694	-1.45491824193973	-1.49540451347239	0.542858862974	0.227484183822632	0.560040373880397	-0.931656332927076	-0.372153100586708	0.420500089376097	0.764538810588176	0.471960846829264	-1.8712874002315	-1.43295647999115	-0.738834182522355	-1.27001068427945	-1.72808460959486	-1.03849479573443	-0.301945944698497	0.668756508118691	-1.41749155285165	-0.842507083843791	0.733073709075027	0.476840715641956	0.609346878636307	-0.580586509034393	-0.602285401910326	0.549632027105589	-0.0499008261462347	-1.16062258940004	-1.46558351507969	0.672573122121652	-0.478273311635091	-0.809632235527714	0.353134190812405	0.226001647625413	-0.6279971792684	0.527373596228049	-0.621683595038662	-0.944624656449112	0.577046647461879	0.570200312518214	-0.0619673540700581	-0.572053762499318	-1.08146463986833	-0.62481257884387
"LSM12"	1.10698156997731	1.53040665730009	0.320079654729423	-1.11296141130219	-0.133748443331172	0.209142405418308	0.892568011951711	1.7432358286783	1.38391308508444	1.59399329464106	-0.503025649860803	-0.793182531331602	1.45748821531922	-0.214624298506932	-0.117639360860356	1.05921106112047	-0.447069302390013	-0.808208165740858	1.54047597411237	-0.588152262683893	-0.328098790271996	-1.16545137762939	-1.18685323807035	1.40139602696382	0.855028034578514	-0.0489735863549383	1.14181983357878	-0.769346883436027	-0.644741999239001	-1.62547631094722	-0.320420449209769	-0.70535659988302	0.75585427666872	0.0788591646829381	-1.04203606198612	0.26133998277027	-1.25399166253098	-0.779352647628513	0.577747036463318	-0.116767564304241	-0.378659103223343	-0.0445374783697958	0.193481670305545	-0.113621497651924	1.30449408523149	-0.434580553307647	-0.943861558266574	0.0564848010126856	-0.165349920271465	-0.377867557251502	1.01865793358625	1.1558322925304	-1.30537878811578	0.398567102263347	-0.828959553894786	-1.49319150916231	-0.617408854118909
"PFN1"	1.48937930025808	1.48825130525848	0.754489183378115	1.04442882799542	0.214889052233903	1.35453405518195	-0.437470457683968	0.638284358196966	-0.296592119529851	1.04926745473921	0.0859773576272995	-1.40559978243505	-0.940142388779095	-1.5631383344549	-2.57266677146642	-0.275703226638521	-1.04234336409055	-0.488218489359482	0.019287936394878	-0.490619305525822	-1.21161616814886	-0.892908623204582	0.0393275542425997	0.456250524702199	0.879889306092079	-0.0327341166868043	-1.59003311218497	-1.83218170651018	-0.460991910287616	-1.68506856784091	-1.82067957462123	0.0279070341922676	-1.16124282702707	-0.179270523880755	-1.00953653416771	-0.23662009860695	0.612894047501918	0.0801335836225155	0.44623228652959	0.611554796765776	-0.985810873135843	0.159619352450892	1.34936816585706	-1.20841855533828	0.531044321871927	-0.370207597738366	-0.0812661179749478	-0.458486615039681	-1.96610170318127	-1.80282477783142	-1.05083242878037	1.24422563678803	-0.362242225797613	0.602637930330815	0.425168056624884	0.126801573580963	-1.026596126566
"PPIA"	0.281854324746573	0.629055902495786	0.235334674564004	0.357621535082562	0.416263088417201	0.65648731712964	1.9048138876508	0.701142965412419	1.46020102657195	0.359618116800549	-0.300963672989342	0.323345189934235	1.03957144612146	-1.10107170964012	-1.80463190128427	1.32629397618372	1.90860347720261	-1.67427241678347	0.16167681791845	-0.120762989711906	-0.263397830941487	1.02655392753672	-1.50428726731143	1.04761892087871	-0.404305239131147	-0.441239842535247	-0.499385557305407	-0.444230916672558	-0.390591967705284	1.07976911357958	1.5640927790867	-1.19698886816693	0.0523333404627457	-1.10735596392091	-0.430766326853039	-0.341799301811868	-1.10946205529221	-1.45843596429179	1.16032798165179	-1.49385631007473	-2.18850177912391	0.520125818466044	0.434324973553008	-1.04342669116478	-0.211190394719381	0.143479478709765	1.29577731103682	-0.132512061855123	0.420227067295365	-0.0886325747632048	-1.04760759148366	-0.382114549819302	0.16843030774373	-1.14561971872877	-1.00128797508477	-1.15364625583092	0.524111284753224
"RBPJ"	0.505688833650267	0.488861778738526	2.29293571379151	1.50850807533106	1.11780028055038	0.278040510619156	0.833279497809187	-0.517745809810215	-1.08554253055802	1.47688468098453	-0.995439432427145	-1.38285842928154	-1.3342783641282	-1.21008661063239	0.248597167187668	0.0655425121004767	0.356610367063436	-1.01830070858809	-1.77695698158479	-1.06311407204376	0.235916616008176	-1.23216565780635	0.268305623525482	0.833733478295649	-0.994929046543153	-1.05140420656617	-0.693793973198405	-1.3685330978609	-1.44072230548576	1.00272189224505	0.539361794483605	1.0043226197505	-1.45991150997687	0.9571980358206	0.216873045204774	1.6853250998563	1.024517710988	0.920067491551049	0.973080208745475	-1.26262917416276	-0.0547700705131733	1.1426766434741	1.07247169243246	2.27333887118099	0.961984288794531	0.395736841893321	-1.65768034855558	0.458124635790629	1.14202889520254	-0.229938146596984	-1.85432043079871	1.00605981231591	-0.320336066910881	0.785222309799379	0.904760974883212	0.897011645254268	-0.463288341500106
"ERP29"	0.913618905378981	1.14112723039531	1.08516749023695	0.390756378696008	-0.397192441631363	2.0008086469288	0.295948481687309	0.980256455089333	-1.51873647694371	1.97297649653134	-1.47112884020483	-0.91027856685866	-0.618508645766811	-1.21488820794702	-0.811678855681046	-0.477056665436202	2.49020398892099	0.144611050087159	-0.47392334881943	1.95348740755078	-0.818446186058436	-0.867739951146879	-1.22236095465369	-1.00180102263288	-0.985241093994359	1.11767429716881	-1.00688673103615	-1.55318834760778	-0.816649719201446	0.370599712138175	-1.36247041408462	-1.11922427105398	0.1799208584923	0.179698753711304	-1.7212219324457	-1.4262901700795	-1.21823448395813	-1.50651892055184	-0.673003672804797	-0.406647936069054	0.765624186771321	0.172297234985129	1.56127612471443	-0.667202997663374	-1.3909496539997	-0.0740974021210397	-0.416235088611728	0.0335239274212724	1.52629973223313	-0.812722827246178	-1.48150653137645	0.515646172899221	-0.700135676945876	1.45651213755792	-0.970917214244832	0.0528236248427597	-1.09752023854412
"S100A11"	-0.508412149924869	1.21228470168971	-0.617938139481533	1.13606776457595	1.0937716071642	1.169922688876	0.904427544142034	0.654803918367111	0.613096374123083	0.880826621582488	1.08132805347098	0.546736237202001	0.695099124019212	1.22439336052654	0.981673825309651	-1.25577386081982	1.29761799803468	1.35596929373314	-0.586270188161732	-1.01663442464616	-1.81210852572445	0.731808803698839	0.767334956996999	0.953850183331894	0.437530018503031	-0.882811447622471	0.919328559181776	-1.16081895780118	1.13258976333515	-0.787949645756776	-0.821204668510289	-0.409854380868376	-0.934184714022201	-1.46151000176498	-1.20529146454518	-0.479657052471162	0.484169250537481	0.925081796785844	-1.1919291689427	-0.649288754340539	-0.724149672600707	-0.739107154967165	-1.33459558376941	-0.980644759827608	-0.892559405018442	-0.731965813908947	-0.952617870918997	-1.38538659068241	-0.581883274796801	-0.927245526282871	-0.855840847556619	-0.859032075960771	-1.0914321728404	-0.333075956634979	-0.341052661483257	-1.13106091006057	-0.677513603901497
"SLC2A5"	1.46131073152169	-0.656384563170784	1.36957876768679	0.0852007886908333	-0.280932943115041	0.435235180868624	1.05729518483384	0.729180116359232	0.776106327409824	1.1488899258263	-0.0138468551064767	0.105296706851774	-0.196122105500068	0.0837650092536444	1.53726421994051	0.55737941560192	0.806973402793287	1.38414585783581	-1.31618121560758	0.405363643680513	-0.69629395587772	0.263627253662116	1.46647570606966	1.5376113417633	0.441931544434806	-1.51080260864418	0.303067595988828	-0.527746732457422	1.31051289045195	1.13676477385985	-0.218395347541765	0.161228860841878	0.103568423147958	-0.757088614925296	0.270606362247376	-1.58027140593158	0.71890919910912	0.301785082005763	-0.183496933466981	-0.495001488346399	-0.0797448261122938	1.18883123997419	0.148838287862001	1.17637862337069	1.24972714858069	1.25831151792188	1.8183521363665	-0.233803313786933	0.200740979525993	-0.249541129121568	1.25465005365188	1.40383247331073	-0.0905967350393873	0.315914089212251	-0.335009694352799	0.0232459022925601	-1.14136448554136
"TFRC"	1.22970047281553	0.157705749574603	-0.553356924207505	1.36633771954283	0.161987358311536	1.6419660187879	-0.517654132792977	0.0235162583031428	0.699109853118486	1.58392256888603	-0.872695261917075	-2.06274299478679	-0.336819041235271	-1.59767744365311	-1.1506581965266	-0.89606276181096	-0.374846751158051	0.127638832447057	-1.59586026961249	-1.18895593343967	1.91962263460676	1.01068623836644	-0.89001744314254	0.784040458120457	-1.1947753790744	0.142457703812588	0.356951105741967	-0.231529211961631	-1.12036130855891	1.15773551070113	-0.526342879864366	-1.91745540923963	0.62408503754604	-0.99012732232364	-0.0327882984386059	0.0329242838565751	0.253780398274385	1.47361294659074	1.35527367959547	-0.175439924598618	0.747565666474494	0.698568960332112	1.03166090462963	2.95201017074341	0.0038994690699698	0.472240198668313	-0.455831623256443	-0.661965334638239	0.879527153335282	0.269974721240392	2.42922237460882	-0.730241260590276	-0.387517937666933	1.24392469655482	1.50655303393855	0.253641477881345	0.247847800873113
