"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"ANXA5"	"ANXA5"	0.274013568460578	-0.723780026177256	0.429359973551662	-0.302377033439635	0.401945098754883	0.273787976458119	"S01"	0.429359973551662	"IS03"
"CSTB"	"CSTB"	1.02578726171393	-0.213784950797902	-0.552167401262317	0.391423628105202	-0.562371198560165	-0.204970352831834	"S02"	1.02578726171393	"IS01"
"RPL12"	"RPL12"	0.86479629939096	0.426645966423886	0.259930332625865	-0.105959360335901	0.313638277403393	-1.47733256987603	"S02"	0.86479629939096	"IS01"
"LSM3"	"LSM3"	0.833845247431444	0.383852614382013	-0.643910440401776	0.172234616813988	0.768999125352321	-1.45010751718581	"S02"	0.833845247431444	"IS01"
"IL3RA"	"IL3RA"	0.805105181956219	0.505704503810049	0.19377300765138	0.124773574391804	-0.462401729007364	-1.08785977269695	"S02"	0.805105181956219	"IS01"
"HEXB"	"HEXB"	0.785832185567843	-0.706980849398248	-0.680571991271471	-0.186370317984698	-0.185814012831905	0.700006723240618	"S02"	0.785832185567843	"IS01"
"ATP5J2"	"ATP5J2"	0.726735224894371	0.625741855311103	-0.878457687192078	-0.550520481286146	-0.00519267557672415	-0.538164421022797	"S02"	0.726735224894371	"IS01"
"NSDHL"	"NSDHL"	0.718992849267682	0.674532575852022	-0.1390869779942	-0.444156457367618	-0.00168974253238632	-1.01222144622569	"S02"	0.718992849267682	"IS01"
"SERPINF1"	"SERPINF1"	0.704812782704514	0.554032351710435	-0.121108357237593	0.00919574372188916	0.103924137962795	-1.22543494173099	"S02"	0.704812782704514	"IS01"
"ECH1"	"ECH1"	0.70087069703212	0.626645494067662	-0.439127559247532	-0.184803269679591	0.230314675612173	-1.11720284356292	"S02"	0.70087069703212	"IS01"
"MRPL45"	"MRPL45"	0.700624735386701	0.216432502380405	0.553922823834747	0.0886747011305103	-0.00780828441250645	-1.14557703651748	"S02"	0.700624735386701	"IS01"
"CSF2RA"	"CSF2RA"	0.62277106013361	0.434980627495791	0.239025606097041	-0.626688905559745	-0.0282594864838948	-0.718704066639286	"S02"	0.62277106013361	"IS01"
