"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"IFIT1__pos"	2.1859656822726	0.0763400051653872	6.97642195830148	5.96134746282869	9.4709701750905	1.19086153341467
"IGSF6__pos"	0.0448695099678448	3.18964656545037	0.933795512910976	2.22044604925031e-16	15.1178533397101	0.530283831027121
"IL13RA1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.36400874680204	4.33587736908025	11.7008947791533	5.77546008290953
"IQGAP1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	12.2595761521802	8.35157076681528	5.69826380726477
"IRAK3__pos"	4.57296065670444	2.22044604925031e-16	2.22044604925031e-16	10.542967378531	9.35212355065857	2.22044604925031e-16
"LILRB2__pos"	1.98620661486711	2.22044604925031e-16	0.993119136065637	2.98603545451981	15.7161564554267	1.02945859993332
"MAFB__pos"	2.22044604925031e-16	0.297120993588994	2.22044604925031e-16	3.73865186978473	15.7974109704797	1.58287729834271e-15
"MNDA__pos"	7.66929062830291	2.22044604925031e-16	0.0903872468727259	4.25934091156397	11.0770763826381	1.77678903636316
"MS4A6A__pos"	2.70686602728564	2.79077292185824e-16	0.86943291178213	8.45153465953051	9.81055554473891	1.30277181025713
"NR3C1__pos"	0.357657921133973	2.44342913718158	2.06839756500088	6.89403122797977	9.66073325566856	0.96618445531405
"PITPNA__pos"	9.16087360842925e-09	0.767492330014698	9.24136432350076	3.30624262348031	11.1465107524971	2.22044604925031e-16
"PLEKHO2__pos"	3.42365144387008e-05	1.08753781148341	1.64378328761102	2.16944746729611	15.5018195199179	2.22044604925031e-16
"RAB39A__pos"	2.19980992312286	2.22044604925031e-16	0.72852212343561	8.85204408684453	11.7526670108866	0.480585997781038
"RHOQ__pos"	0.618285084546173	2.22044604925031e-16	2.22044604925031e-16	15.5964806897624	7.19652721273415	2.22044604925031e-16
"RNF130__pos"	2.0943720179244	1.27617436358521	4.57468584390262e-07	2.15311808337149	15.7536185404515	0.784051825894149
"S100A11__pos"	3.35596530830984	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	10.5997683591269	12.6432729327758
"SIRPA__pos"	2.22044604925031e-16	2.22044604925031e-16	1.17150977823104	2.22044604925031e-16	15.8284176967414	2.94979082413581
"SLAMF7__pos"	2.22044604925031e-16	2.32324532713078	0.950205696925838	2.22044604925031e-16	14.1064951421854	1.97237869480758
"SRP14__pos"	2.11281093440989	0.756681012194468	6.27258551890517	3.30085999697839	5.88633926945126	6.55346583769808
"TMEM176A__pos"	2.22044604925031e-16	2.22044604925031e-16	2.65362593091476	2.22044604925031e-16	14.8012303243873	3.42484671051601
"TMEM37__pos"	2.22044604925031e-16	2.22044604925031e-16	2.38276479327494	4.39802669750394	11.8145691996119	4.88766591569258
"TMEM86A__pos"	1.62965277687972	0.756608230275839	0.478231096705164	6.01164877434136	13.1261171365023	2.22044604925031e-16
"TYROBP__pos"	3.43881749409119	2.22044604925031e-16	0.465564484832139	2.22044604925031e-16	13.5199833718655	5.07197378025101
"UBE2L6__pos"	2.08526330918685	2.22044604925031e-16	2.22044604925031e-16	0.468019057768501	10.9649986259743	9.09019969826892
"YWHAE__pos"	6.45895466063327	2.22044604925031e-16	8.87917670985748	4.61718382585341	5.88196334019201	2.22044604925031e-16
"ABCA1__pos"	0.0200471597911535	0.516171854173831	2.43743652779236	7.12627152195722	12.73825157949	2.22044604925031e-16
"ADAM9__pos"	4.68673771367413	2.22044604925031e-16	1.69738452394807	9.79573695186239	10.1620879530219	2.22044604925031e-16
"ANXA1__pos"	3.88847404234217	2.22044604925031e-16	2.22044604925031e-16	8.00929210994064	10.8442924400409	2.02833821324448
