"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"CLEC7A"	"CLEC7A"	-0.468714597728696	-0.98548864424834	-0.452264083996681	0.803847196334222	1.04209093819505	-0.74319930685045	"S02"	1.04209093819505	"IS05"
"FPR3"	"FPR3"	-0.805188282911433	-0.959023569585982	-0.0320832220028233	0.192404492428893	1.04014874734081	-0.248301672377533	"S02"	1.04014874734081	"IS05"
"SLC15A3"	"SLC15A3"	0.0257878330416971	-1.02241623283533	-0.0290253170897829	-0.437001981974781	1.03467963726587	0.111632983140378	"S02"	1.03467963726587	"IS05"
"APOL3"	"APOL3"	-1.34655749817269	-0.427986340825307	-0.137567166943264	0.104022295990688	1.03267968166468	-0.341567722124871	"S02"	1.03267968166468	"IS05"
"CYFIP1"	"CYFIP1"	0.697369758190997	-0.891962546538185	-0.483182538304624	-0.1205972150384	1.03025122537466	-0.387788956901637	"S02"	1.03025122537466	"IS05"
"NEU1"	"NEU1"	-0.0541892883909638	-0.925095173386652	0.119219664458498	-0.2902062059813	1.02658241686321	-0.34983153681146	"S02"	1.02658241686321	"IS05"
"CD86"	"CD86"	-0.97550544565487	-0.813071119779807	-0.164657438772572	0.0399720452184479	1.02498355617314	0.0780185525264606	"S02"	1.02498355617314	"IS05"
"DMXL2"	"DMXL2"	-0.31433238103102	-1.24441326158041	-0.691708977688878	0.968662354737051	1.02411145084974	-0.362646403140076	"S02"	1.02411145084974	"IS05"
"PRDX1"	"PRDX1"	-0.492911418676922	-1.27710958467785	-0.194998370053547	-0.0544243581355385	1.01839832820326	0.573513046677536	"S02"	1.01839832820326	"IS05"
"STOM"	"STOM"	0.973332760947671	-0.933880761794684	-0.904443717433671	-0.0690294832268942	1.01632213064307	-0.018314064910335	"S02"	1.01632213064307	"IS05"
"MRC1"	"MRC1"	-0.582247729595322	-1.31727210877473	0.107722764749239	0.227134115746175	1.01529052701824	-0.0819875523747081	"S02"	1.01529052701824	"IS05"
"TDO2"	"TDO2"	-1.01735377077561	-1.08020609250538	-0.269355426698632	0.579668411684105	1.0142160687927	-0.0924163779875979	"S02"	1.0142160687927	"IS05"
"FGL2"	"FGL2"	-0.932068592415409	-1.27757850336269	0.129958153496859	0.348017046386805	1.01287540345777	-0.0765575655326407	"S02"	1.01287540345777	"IS05"
"LACTB"	"LACTB"	-1.41761239098285	-1.12686039664764	0.353667390644483	-0.222949432765952	1.00748605855542	0.557577759050593	"S02"	1.00748605855542	"IS05"
"ANXA5"	"ANXA5"	-0.457930291105935	-0.713955475906575	-0.270689097895585	-0.286217653056282	1.00606109991224	0.185444015541859	"S02"	1.00606109991224	"IS05"
"CLEC12A"	"CLEC12A"	0.162771858742084	-0.754185410726498	-0.831666684043079	0.516574284215006	0.999006688544122	-0.555098149975461	"S02"	0.999006688544122	"IS05"
"HAVCR2"	"HAVCR2"	-0.357306335448525	-0.381820458697963	-0.380696809853139	-0.58566577999628	0.995656430295538	0.213605959069472	"S02"	0.995656430295538	"IS05"
"CCL19"	"CCL19"	-1.22821828833044	-0.728449800313666	0.562444139418459	-0.483307264631555	0.990832676426225	-0.0329041802258895	"S02"	0.990832676426225	"IS05"
"S100A11"	"S100A11"	0.360202586298329	-1.17748523021738	-0.277001521715106	-0.536784659063485	0.988560095666151	0.641413633780104	"S02"	0.988560095666151	"IS05"
"HLA.A"	"HLA.A"	-0.135421833834379	-1.03875153926065	-0.0980641932141819	-0.269334825893701	0.987785153087213	0.201120415289466	"S02"	0.987785153087213	"IS05"
"IFIT3"	"IFIT3"	0.129371738227647	-0.712389799411677	-0.183007151326592	-0.507209704135507	0.984361328727414	-0.0113964443841289	"S02"	0.984361328727414	"IS05"
