"LP20"	"LP23"	"LP27"	"LP32"	"LP35"	"LP39"	"LP42"	"LP48"	"LP49"	"LP67"	"LP91"	"LP92"	"LP97"	"LP100"	"LP103"	"LP104"	"LP106"	"LP109"	"LP110"	"LP03"	"LP12"	"LP15"	"LP17"	"LP19"	"LP21"	"LP25"	"LP26"	"LP28"	"LP29"	"LP31"	"LP41"	"LP44"	"LP46"	"LP47"	"LP54"	"LP55"	"LP60"	"LP62"	"LP63"	"LP64"	"LP69"	"LP72"	"LP79"	"LP90"	"LP113"	"LP114"	"LP117"	"LP118"	"LP119"
"CNTLN"	0.46155561597638	0.509498855271872	1.13445559634341	-1.16886134717312	1.00164293581405	1.00086812293169	0.87585275721783	1.21108445644621	1.30213578328003	0.125383599058006	1.55847316167085	0.566534999417254	-0.228743591045014	0.689816666958148	1.24998233672506	0.0414610358496942	-0.0231849173335557	0.58891400326981	1.26624498618516	-0.0983194133647696	0.329474420443771	-0.247470670743999	1.23582610927444	-0.159889203961697	1.43613419383731	0.743420475268747	1.19176304587957	0.487082227456644	0.743070796588548	0.568605083773873	-0.729323685608899	1.45558463910663	0.436511811979567	0.295481431603194	0.162327281247535	1.37796659544952	1.40616683170003	-0.0130769763243919	1.27301151450109	0.883794022228331	0.4078112026448	0.636021287574536	0.918588159577555	0.447519760494225	-0.280240027319985	1.103316081344	0.46492250936683	-0.42356210059804	-0.477354041278432
"MYD88"	1.44998020583812	1.34534420704958	-0.0804376230967404	1.28924441291209	-0.0185556087832513	0.462026594069026	1.83910100459147	1.09568676296756	1.50032032792712	-0.704069492483208	-1.59873238451126	0.597067840114521	0.677182452450704	0.156214094883691	-0.485195630480831	2.34850168250805	0.780890114367569	0.538288389325398	0.196049732835477	0.432924834189643	-2.44591220733917	-1.12150009467424	-1.02913285628247	-0.3415116615378	-0.798133871621189	-0.402378122814487	-0.667175761805293	-0.582128280675249	-0.754995080933375	-1.26399571451589	0.541159388720841	0.791064502990103	-1.58024316444068	-0.556427201579753	0.600036505521267	0.468240771295391	-2.13339425202409	-0.901439559556144	-1.2916597198743	0.0551069919123481	-0.785836085323421	0.272669033163518	-0.382087521104872	0.374889737670793	-0.15119298860586	-0.155828251838948	-0.258560101701207	0.4325362007777	-1.05203525035834
"PRCP"	-1.07510837396153	-0.295624316158944	-0.418084972974107	1.39182849242152	1.21283034886025	0.834170354147233	1.63959094231149	0.844303294790603	-1.28931197196937	1.00583729162169	1.10440064436843	0.987085746206211	0.834575005732933	0.838521375217219	0.861071294131235	1.26576011925156	-0.444439359351227	1.17662040873158	0.681086810967758	0.0143010993102769	-0.523060763428586	1.08479410230331	-0.614587267546173	0.0342099939150822	-0.215679251701865	-0.724407035561621	1.0638014661451	-0.0364799036636352	0.952610253146214	-0.56655273730981	-0.952113623285346	1.55470966579891	0.279799889712077	-0.173374412293455	-0.193804378547315	1.40868660490082	1.91930678264785	-0.0954061493965686	0.143621618911251	1.04301119668315	1.39789261792855	-0.000903058875812728	0.143066933340229	1.30856483148393	0.239509883083248	-0.623869964640005	-0.276082657866081	-0.0336103318744582	-2.08136756441683
"CCP110"	0.343829902768267	-0.870053404488055	0.314031439523435	1.36037488793764	2.00250133704286	0.354384839692097	0.210306831482653	2.23113799395838	2.06714194195903	0.727976493536642	0.361092129082179	0.37423210368983	1.44424143382941	-0.0381687739956968	1.60638827187858	-1.21591913109751	-0.494767284212037	-0.0638021426336175	0.0650392681941206	-1.12340349440516	1.23014533276766	-1.33131134257	-1.58274344459432	0.8537922548013	-0.130912707793318	1.79540487822373	1.95184096257099	0.354365861549165	0.27988879170783	-0.289721623702112	0.159778112805488	0.644548435217771	0.384943797134795	0.805816062412074	-0.0674566722765252	0.174908157600462	0.866831640999122	0.204785453620924	-0.973340167500735	0.354992973041273	0.269267881260918	1.03209108504462	0.153944246886877	0.600689018598308	-0.0794644795408117	0.0634699491342944	1.16315924625104	-1.04694850771068	1.63731649475973
"TCF7L2"	1.08985149371608	1.00543614564845	0.960350073779969	1.0151146336615	1.36345616157277	1.15988068671812	-1.40071748190973	1.08649783779076	-0.760603106284222	0.842019458825757	1.2549643108562	0.743413256982629	1.21228254455784	1.06834206701558	0.598937700249338	-1.55726014434471	0.797708622344954	0.654489238446463	-0.67326976320415	0.856314272566285	0.56607515242709	-0.519726243302167	-0.285510322027754	-0.024444364038282	1.14403444159851	0.877970114047398	1.17101313128584	0.810523501866806	-0.213502433474178	0.747053254002057	0.652504567209938	0.997728171359616	0.685808709848836	-0.495558887539537	-1.19511160080389	0.463405078939181	1.21453899772675	1.18190564560481	0.654636117294867	0.852388818294976	0.560877834075654	0.696948444499434	0.614352528983989	0.658415890868366	0.888405358611708	0.583247788334926	0.759543553013318	-0.364051486105873	-0.513465684737921
"QKI"	-1.02603905630209	-1.35842729477926	0.638138975700023	1.73550599549309	0.968338801313478	1.656806566029	-0.472787201615974	0.959284017256987	1.75250274139428	-0.375638678147789	1.56794135278159	-0.392294450994562	1.44155986623387	0.25863776680463	0.385189145869614	1.85083954674965	0.0460420076331802	0.49112317759134	0.237599988840567	0.274034300393929	-1.12098003366	-0.728485881399445	0.443728938099221	0.348930511866624	1.46866457867253	0.12362470320479	0.760108917341061	1.25859251225171	0.268820226962345	0.321343186237376	-1.11711358545853	0.26910656947101	1.62708545166183	0.763489380941431	-1.49635564708478	-0.0834656266309376	2.03122620444812	0.873337138594204	0.970222490954762	1.1558337605851	-0.598851611690772	0.02305884844917	0.272740003667037	0.467539126149024	0.558480502780088	1.38657500856431	0.13566729636637	0.0103567418764497	0.0912701436807598
"DPYSL2"	0.474325121939127	1.27823471584957	1.67480675840241	0.891211947059578	1.14889822782318	0.444457696001773	0.620413841669583	1.01748931853973	-1.05420954288882	1.06387002027848	0.77180473406099	0.424775670333788	0.43204042832583	0.526785029159786	0.829669267841642	-0.676434680211238	0.184474072075239	-1.0476146303376	0.628195481632608	-0.333578221438987	-1.47912380415568	1.20576624079622	-1.1614948747901	0.656084219412081	1.02042553720651	1.04744285708634	1.22331518147435	0.566122026085694	0.99041830084455	-0.50495259434428	-1.20163585960525	2.07327558127971	-1.46186891809655	-0.429447852330242	0.20575488058366	0.394145043407578	0.740804905700481	0.85781212542061	-0.450609363716889	1.18980957930021	0.284687922040179	0.715007696072238	-0.618303544603096	0.850128021678275	0.694653382511219	0.745645540651849	0.584560010557803	0.857793238136866	0.883423595202392
"EPB41L2"	-0.775735547076259	1.66108320549569	-0.310031927197824	-1.47099905803313	1.21767554574851	1.55963694676649	0.0740590406141472	1.41614079533766	1.78393485763675	-1.79908824833069	0.76948182873176	0.934874872953192	0.211429667265258	0.363415496723253	-0.542137688716625	0.563607601370332	0.909684337707956	0.184800688510296	1.68648293920591	1.30765866067844	0.677834696768751	-1.23813203010115	0.637695383404844	1.42951343022957	-0.0559358166471734	0.554978433222472	-0.0256757736738733	0.464490083856419	-0.456168308888239	0.457965695949787	-1.62367107519567	1.59703804479027	-1.56682918539294	-1.33786462972951	0.143738983930237	0.394886522254805	1.22385111020724	0.833525698759326	-0.775102392157109	1.87750620065312	0.0141446789464034	0.121528253354008	0.674525357442988	-0.0398476803028674	0.642830354978563	0.261601364465053	-0.0496246001312996	1.20631600389143	-1.31160589044935
"NR3C1"	-0.299784265697059	1.64319630417758	1.01922512839756	-0.840398694080863	1.15342816473073	1.41780991045881	-1.23423733372226	-0.953708626646839	0.294443475219309	-0.376329480502617	0.666825853685926	1.4160418938861	0.85476237060416	-0.18854786987715	0.258831904995747	-0.0603952284502722	0.883778239861745	0.558040378955824	-0.246351455877981	-1.09533470314163	-1.43756499658055	-0.728384158321627	-1.14900754731765	-0.997256252344401	0.763732526145982	0.274230262177913	1.81578374056108	0.471379173654223	0.695591282573469	-0.614464331814827	1.18603560911046	2.57807675670729	1.06378417662939	0.288770492100295	-1.23296923159044	1.04509047058471	0.812880862403424	-0.014566902410432	-0.0667031418117227	1.50049316187648	-2.82123334206144	1.45148618118589	0.50750142608091	1.38319375528498	0.522640950217057	-0.097122221963673	-0.681893532049296	-1.73172430600021	1.40998046990462
"CTSB"	-0.909032707231798	-0.687976575893322	0.487668501906444	-1.85354853539043	-0.55364325777631	0.0224028548355618	-1.65184454535689	-0.954057568546147	0.811941978456192	-0.296755237052677	-0.330245267714305	-0.440383649958584	-1.39662060763489	-0.179027245090476	-0.767472379136358	0.49847893299308	-0.632261807262925	0.0478612638481933	-0.873024803997576	1.0743385459954	1.18666341846299	0.7676676189832	1.36900551573859	0.891410738264479	1.12442760389901	0.806040990351199	1.0506425241459	0.838191170430812	0.58263370090026	1.24560805373339	1.15397642504154	1.220533108583	1.20995797986856	1.10701229210281	0.952059830543099	1.13565718202798	1.31104859271549	1.1118301853618	1.49447472350092	0.906688896341895	1.33451208796487	1.2968016203918	0.854782164724734	1.02118676200839	0.828786089958536	0.99412199841969	0.826279930880363	0.928986341048968	0.750329768191255
"FTL"	0.576365820718451	-0.92623263825238	0.725330857443988	-1.26709043596202	0.843643941158764	-1.58504180603125	-1.26394018324145	-1.00409804165478	-1.04937702533429	-0.532364321888154	-0.354753016666001	-0.781284148214635	-1.00171753843578	-0.808163831830847	-0.903143067181537	-0.659166718471824	-0.929196850504704	-1.06866021654186	-1.00550012246383	1.29117867079291	1.21366859860071	0.949478806104143	1.72023421713768	0.754511509279036	1.07381686599032	1.05664892517722	1.26016438797069	0.812671912733527	0.591732999892749	1.18665501793308	0.914295639722817	1.00039093263377	0.989167945748387	1.05397274237672	0.883891854170758	1.00409083772498	1.31358050842821	1.00133725485797	1.24696170483562	0.802219427690243	1.26523688937776	1.18706298998815	0.518969856453367	1.02097350717636	0.947262254087137	0.936437714412356	0.872865018268638	0.998319861628173	1.10369996672552
"PSAP"	-0.462044512910412	-0.136615593508109	-0.22888113736015	-2.18857360306435	0.674173986462641	0.0773146218335347	-1.27035885135704	0.0850272579581909	0.472918079975762	-0.0313561633003415	0.906106938550673	-0.273594253683377	-0.645650755914435	-0.911283891962353	-0.29725433495153	0.632715324821856	-0.900387988450831	-0.381554720744245	-0.897889583102712	1.30608690451571	1.26985451658771	0.965367390571512	1.19178154473991	0.675575360739113	1.02115768597558	1.04324702153349	1.07089846884192	1.03962713790637	0.819952661815356	1.26486607014428	0.929083391645013	1.29033674499527	1.02330756233524	0.728272782944863	0.573532792698006	1.19511183377462	1.12850316566247	1.16163345614383	0.977199235040277	0.967903936017991	1.16654327332217	1.29519167704283	0.592815210708844	1.01196529662342	0.695706509834175	1.02868538186337	1.29053976316305	1.11829124475395	0.923607986369786
