"LP01"	"LP02"	"LP03"	"LP04"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP12"	"LP13"	"LP18"	"LP23"	"LP26"	"LP27"	"LP30"	"LP37"	"LP40"	"LP43"	"LP44"	"LP46"	"LP54"	"LP56"	"LP60"	"LP63"	"LP64"	"LP68"	"LP70"	"LP81"	"LP95"	"LP110"	"LP112"	"LP115"	"LP116"	"LP117"	"LP118"	"LP121"	"LP14"	"LP15"	"LP16"	"LP17"	"LP19"	"LP20"	"LP21"	"LP22"	"LP25"	"LP28"	"LP29"	"LP35"	"LP39"	"LP41"	"LP47"	"LP49"	"LP50"	"LP55"	"LP62"	"LP65"	"LP67"	"LP69"	"LP72"	"LP90"	"LP91"	"LP92"	"LP97"	"LP100"	"LP106"	"LP109"	"LP119"	"LP120"
"CXCL17"	0.971747698372359	0.963132686815694	0.938466662132109	1.02869359682458	0.968918112100144	0.948074333226956	0.978508380922688	1.02131447395063	1.04496740277909	0.969778639175146	0.930310490625035	0.929450145785046	0.929450145785046	0.929450145785046	0.938502182678914	0.929450145785046	0.929450145785046	0.347771987272513	0.934497729275325	0.929450145785046	1.26789120599833	-0.625973950488201	0.929450145785046	-0.689399640436526	-1.12132329272375	-1.12132329272375	0.929450145785046	0.929450145785046	0.929450145785046	0.929450145785046	0.929450145785046	0.929450145785046	0.929450145785046	-1.12132329272375	0.929450145785046	0.929450145785046	0.929450145785046	0.929450145785046	-0.455498931833899	-1.12132329272375	-1.12132329272375	-1.12132329272375	-1.12132329272375	0.931622459173634	-1.12132329272375	-1.12132329272375	0.931136773957389	0.929450145785046	0.929450145785046	-1.12132329272375	-1.12132329272375	-1.12132329272375	-1.12132329272375	-1.12132329272375	-1.12132329272375	-1.12132329272375	-1.12132329272375	-1.12132329272375	0.93884101586372	0.929596735275372	-1.12132329272375	-1.12132329272375	-1.12132329272375	-1.12132329272375	0.929450145785046	0.951511149635357	-1.12132329272375	-1.12132329272375	-1.12132329272375	-1.12132329272375
"KCNK3"	0.868382418952651	0.952972107415447	0.872166965188185	0.936783862855452	0.895333347298971	1.03996107644201	0.904872010230443	1.34863072856124	0.977684690041424	0.899516738328533	0.855345468529047	0.204574313477099	0.855345468529047	0.855345468529047	0.859540773259366	0.855345468529047	0.855345468529047	-1.10902413719751	0.855345468529047	0.855345468529047	1.40336943645059	-1.10902413719751	0.855345468529047	1.25007325594059	1.27393740998043	0.868360890703434	0.86201611453796	0.855345468529047	0.860091686628494	-1.10902413719751	0.855345468529047	0.816306691513993	0.492072908877273	-1.10902413719751	0.855345468529047	0.855345468529047	0.861820502136787	0.855345468529047	0.85879902591603	-1.10902413719751	-1.10902413719751	-1.10902413719751	-1.10902413719751	-1.10902413719751	0.86019633756916	-1.10902413719751	-1.10902413719751	0.862143276793529	0.860351798925274	-1.10902413719751	0.873118831670161	-1.10902413719751	-1.10902413719751	0.863074677553991	-1.10902413719751	0.861915048250632	0.858861473717637	0.873068198048913	-1.10902413719751	0.863263037973132	0.857585886825042	0.859747259057657	-1.10902413719751	0.859416319998572	0.736826217326167	-1.10902413719751	-1.10902413719751	-1.10902413719751	-1.10902413719751	-1.10902413719751
"TBX5"	0.707837911046779	1.20553767961491	0.778403599506486	0.669886466713264	0.620767650341267	0.647798921411645	0.835992577580457	0.740480151864624	0.751579766594582	0.667565685849162	0.749002918582544	0.766646062581213	0.81905983127016	0.109304685644244	0.374150272736524	0.798878064379925	0.70998611708571	0.633795968502001	0.308407946435047	0.671542294211452	1.12304259218867	0.754066231867479	0.648028415824223	1.04110456979171	1.27486775798639	0.614566064307951	0.904668992535798	0.617638341939093	0.779687106802603	0.995713119158667	0.850817401895856	-0.431075354912987	-0.50698580629046	0.871666425721636	0.738207889538671	0.855790802154255	0.638990187068948	0.558851346806834	0.811731799227348	0.728510317972361	-1.61556137482253	0.62081584459242	0.802973396675613	0.720361811915753	-0.733803408218067	0.8649224603471	0.944666045018157	0.615125998954724	0.926693061314604	-0.996797621744652	0.615708492587086	0.77051762514359	0.744496662198586	-1.61556137482253	-1.61556137482253	-1.61556137482253	0.741944137494478	-1.11939817197399	-1.61556137482253	0.718248268263912	-1.61556137482253	-1.61556137482253	-1.53299054142549	0.633850537007595	-0.422505970360536	-1.61556137482253	1.13873428829036	-1.61556137482253	1.09713060965864	0.643627793061066
"ROS1"	0.933798809385408	-1.00478485309846	0.927848643908337	-1.03001167139316	0.93218681183921	-1.02950669242829	0.931519151587248	0.934493600300046	-1.03001167139316	0.927558385773516	0.927558385773516	0.927558385773516	0.927558385773516	0.927558385773516	0.949400474556266	0.927558385773516	0.927558385773516	0.935078061370671	0.927558385773516	0.945510481865685	2.18009457956007	-1.01599047361496	0.942080124436165	1.47166867536465	1.16732019984446	0.932313231136649	0.927558385773516	0.927558385773516	0.927558385773516	0.927558385773516	0.927558385773516	0.927558385773516	0.927558385773516	-0.997283377809656	0.927558385773516	0.927558385773516	0.927558385773516	0.927558385773516	-0.90983613422656	-1.03001167139316	-1.03001167139316	-1.01897755002712	-1.01693913341221	0.938185504388222	-1.0164790343753	-1.03001167139316	-1.02196298060231	0.927558385773516	0.927558385773516	-1.01154300319255	0.93534293788299	0.967550541817002	0.93562421566801	-1.03001167139316	-1.03001167139316	-1.03001167139316	-1.03001167139316	-1.02174325052261	-1.03001167139316	-1.0144165914625	0.931720506749529	-1.03001167139316	0.933904731989126	-1.03001167139316	0.927558385773516	-1.03001167139316	-1.03001167139316	-1.03001167139316	-1.03001167139316	-1.03001167139316
"C1orf53"	-1.14040622351354	0.655164784662976	0.861720235572306	-1.14040622351354	-1.14040622351354	1.00674393357087	0.95850903115435	0.859450468921649	0.919419890044276	0.907852566899963	0.859450468921649	0.859450468921649	1.01935806080302	0.859450468921649	0.859450468921649	0.859450468921649	0.859450468921649	0.859450468921649	0.859450468921649	1.2327690105596	1.12940991979125	-0.164405692511218	1.32185946171735	0.996512040609309	-1.14040622351354	1.02447047242437	0.859450468921649	0.859860576555288	0.859450468921649	0.859450468921649	0.859450468921649	0.859450468921649	0.859450468921649	0.915073923468676	0.859450468921649	0.920763299575876	0.875294931245191	0.859450468921649	1.17473848298484	-1.14040622351354	-1.14040622351354	-0.767515583972012	-1.14040622351354	-1.14040622351354	-1.14040622351354	0.92697395702513	-1.14040622351354	0.859450468921649	0.859450468921649	0.496808161313617	-1.14040622351354	-1.14040622351354	1.00701560991517	-1.14040622351354	-1.14040622351354	-1.14040622351354	0.897400801681207	-1.14040622351354	-1.14040622351354	-0.131080473223916	0.885434017242099	-1.14040622351354	-1.14040622351354	0.929857311033214	0.859450468921649	-1.14040622351354	-1.14040622351354	-1.14040622351354	-1.14040622351354	-1.14040622351354
"IRX5"	-1.06376281638054	0.851701238704552	-1.06376281638054	-1.06376281638054	0.916626452695173	-1.06376281638054	-1.06376281638054	0.873360455450921	0.874720954593941	0.881558573191926	0.873360455450921	1.06385953211015	0.873360455450921	0.873360455450921	0.873360455450921	0.880968376073024	0.873360455450921	0.873360455450921	0.873360455450921	0.873360455450921	1.93509268656402	0.447920203692427	0.873360455450921	1.681461195509	1.94912675222786	1.01950302879664	0.873360455450921	0.873360455450921	0.873360455450921	0.873360455450921	0.873360455450921	0.873360455450921	0.873360455450921	-0.49585122767905	0.961542922170221	0.873360455450921	0.919834330391413	0.873360455450921	0.873360455450921	-1.06376281638054	1.15021032672239	-0.666015715020257	-0.963610603083471	-1.06376281638054	-0.970454831657979	-1.06376281638054	-1.04721863476316	0.873360455450921	0.873360455450921	-0.755733781996838	-1.06376281638054	-1.04593767129961	-1.06376281638054	-1.06376281638054	-1.06376281638054	-1.06376281638054	-1.06376281638054	-1.06079990728033	-1.06376281638054	0.936662747145474	-1.06376281638054	0.980086535393872	-0.927868598052047	-1.06376281638054	0.873360455450921	-1.06376281638054	-1.06376281638054	-1.06376281638054	-1.06376281638054	0.873629436177441
"TMEM190"	-1.05129888321766	0.947841327634175	-1.05129888321766	0.950375704512511	1.00934191775048	-1.05129888321766	-1.05129888321766	0.95307207573978	0.969952202501096	1.03496856550192	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	1.38862390951665	0.947841327634175	0.947841327634175	0.947841327634175	-1.05129888321766	-0.654652588540045	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	1.04904457862883	0.947841327634175	0.947841327634175	0.947841327634175	0.947841327634175	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	0.947841327634175	0.947841327634175	-0.359936907778888	-1.05129888321766	1.25213881456687	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	0.630928865781299	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	0.947841327634175	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766	-1.05129888321766
"SFTA3"	-1.08565480283091	0.920007640596304	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091	0.937500551566349	0.920053115595531	0.927042449241416	0.921815922051349	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	1.26859084317901	0.920007640596304	0.920007640596304	1.04539263125917	1.10977836071591	0.171567282974649	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920028783079563	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	0.920007640596304	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091	0.921262972606529	-1.08565480283091	-1.08565480283091	-1.08565480283091	0.920007640596304	0.920007640596304	-0.375020512709993	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091	0.513147985073118	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091	0.920007640596304	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091	-1.08565480283091
"CCDC8"	1.64876762605451	1.48317963757017	1.612136686205	1.3821840706095	1.55489513886927	1.18895890504791	1.45452802070383	1.46724357544568	0.549028794213849	0.537916746772146	0.716542500693428	0.263682150564523	0.321913505665679	-1.08055527722473	1.407432514943	-0.887729872965395	0.281785056553167	1.62063593338304	0.264301060547807	-0.0787520289233447	1.66446577189862	-1.34115438616118	1.70704328865003	1.77769897444771	1.54474054858239	0.250610549595853	1.47587268192442	0.133413136899723	-0.061602938845876	-1.30319136874357	0.727638032262241	0.296700385818212	0.731859328886948	0.00463462807947741	0.0771338801062884	0.607393927629934	0.319220295292863	0.369545956834621	-0.378379311440881	-0.143124632357041	-1.39019721548906	-0.0924361802539084	0.262457255883849	-1.37770241429865	0.263397736935993	0.331825975191812	0.116531091361101	0.281438466405494	0.251848253701557	-0.0694659658623215	1.63967313563272	-1.37684448519478	0.183228200010931	-1.3781685865074	-1.35727611604778	0.940445856965638	0.664584182860989	0.365209145875076	-0.375326299397735	0.270592032784041	1.25824402776125	0.255157952444497	0.320825078374648	0.26299383558173	1.19179302480087	0.251330121131639	0.262888500065938	-0.170302859728018	0.282165606087513	0.106750291842049
"MUC5B"	0.983277331999506	0.989052335919292	0.995187993388161	0.993604494059156	1.06540364750977	0.947193839289056	0.941023752795292	0.996839128228941	0.99302398077968	1.07298188011844	-0.888674166128374	-1.07352909326278	0.970114669027395	0.935460059118459	0.936669952090367	0.936612359442323	-1.0787481627307	0.93870722701221	-0.951966211352583	0.935698149107578	1.82449614147565	0.937297959658411	1.10753270384774	1.14434705918657	1.01973206047984	0.936334918787578	0.978519201870195	0.937062022284936	0.935726688422747	0.974872634882745	-1.05010329986137	-0.895339533929226	0.938293606045271	0.93546644188179	-1.0199881511983	0.972351793223478	0.935511027457447	0.93693999385167	-1.07244225437193	-1.03385127766382	-0.564686318959068	-1.07919737620877	-1.07608760900977	0.939911194881086	-1.07769374391869	-1.07941821680615	-1.07390591016551	0.938797328061931	-1.0611988099601	0.936315703676478	-0.969957817635464	0.936512409011903	0.935651630246492	0.944392806311323	0.936640909009715	-1.04091722155803	0.935591606395938	-0.814296570874309	-1.077454199793	-1.07961368427047	-1.04652943761799	0.935822365282176	-0.880424317525005	-1.07843004152009	-1.07561369517684	0.949941673588234	0.937184399326607	-1.06487413076166	0.937825905783517	-1.07946538047806
