"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"ITGB6"	"ITGB6"	-0.188648359612163	1.08653782204043	-0.741984801551051	-0.538510938759385	"IS02"	1.08653782204043
"FAM180A"	"FAM180A"	0.0774659893658643	1.08196682126265	-0.941835830869818	-0.587052221611393	"IS02"	1.08196682126265
"CXCL17"	"CXCL17"	0.117316368676462	1.06266252274021	-0.602002999085539	-0.830544437565312	"IS02"	1.06266252274021
"KCNK3"	"KCNK3"	-0.228521733975671	1.05573499233839	-0.917000591309931	-0.354518389493624	"IS02"	1.05573499233839
"TBX5"	"TBX5"	-0.460641187755385	1.046217013173	-0.839388241613655	-0.230275281727611	"IS02"	1.046217013173
"ROS1"	"ROS1"	0.159129875791752	1.03826069104056	-0.844010517935848	-0.666079763663329	"IS02"	1.03826069104056
"C1orf53"	"C1orf53"	0.105426500419601	1.02977970277596	-0.790467522731123	-0.655156390002521	"IS02"	1.02977970277596
"IRX5"	"IRX5"	0.120684363678972	1.0165966847246	-0.644444621926081	-0.753082678263774	"IS02"	1.0165966847246
"TMEM190"	"TMEM190"	0.181485297966127	1.01567416616054	-0.454867454369167	-0.927560626505505	"IS02"	1.01567416616054
"SFTA3"	"SFTA3"	0.296599066262546	1.00490401915506	-0.46629528287435	-0.990995311652819	"IS02"	1.00490401915506
"CCDC8"	"CCDC8"	-0.946788389587022	0.997488065503993	-0.693709028726991	0.0731749074100163	"IS02"	0.997488065503993
"MUC5B"	"MUC5B"	-0.931277814910749	0.977161423792009	0.00525919775702926	-0.4008523697298	"IS02"	0.977161423792009
"PLEKHS1"	"PLEKHS1"	0.00481152902765565	0.976388739122627	-0.975144774869868	-0.395845687822484	"IS02"	0.976388739122627
"SFTPD"	"SFTPD"	0.333078706020245	0.97533345165409	-0.550240270654479	-0.926712210413803	"IS02"	0.97533345165409
"PON3"	"PON3"	-0.336193198456079	0.955860470680339	-0.87610170997993	-0.195760443416418	"IS02"	0.955860470680339
"HHIP"	"HHIP"	-0.739718055473522	0.946029160043444	0.0796352760011833	-0.556763334828071	"IS02"	0.946029160043444
"NRK"	"NRK"	0.0354109054242104	0.937861039094838	-0.795171339895852	-0.500664571392476	"IS02"	0.937861039094838
"WISP2"	"WISP2"	-0.247303889028569	0.936388285260521	-0.543738835085894	-0.46931057758326	"IS02"	0.936388285260521
"RGS22"	"RGS22"	-0.576350360846301	0.924454049834137	-0.897961161812656	0.0272890432441381	"IS02"	0.924454049834137
"MYH6"	"MYH6"	-0.413138547783345	0.920648044009764	-0.237259847870149	-0.544970563241085	"IS02"	0.920648044009764
"RHOD"	"RHOD"	-0.328129052692122	0.903601809220832	-1.04117912690787	-0.0298018102570512	"IS02"	0.903601809220832
"HSD17B14"	"HSD17B14"	-1.27254433230891	0.903170346340438	-0.183968956972708	0.0580203869751186	"IS02"	0.903170346340438
"STK32A"	"STK32A"	-0.909697154150813	0.883200749751047	-0.335647973018696	-0.0769710448773978	"IS02"	0.883200749751047
"ELN"	"ELN"	-0.604582180598434	0.877394663138138	-0.992465153317941	0.16479744013482	"IS02"	0.877394663138138
"LMO3"	"LMO3"	0.126399134610301	0.862361252577381	-1.21085058070158	-0.195246195641396	"IS02"	0.862361252577381
"AVPI1"	"AVPI1"	-0.441614546906534	0.858090772089029	-1.10675489659248	0.147522671903639	"IS02"	0.858090772089029
"EGFL6"	"EGFL6"	-0.47863558157077	0.836486794456627	-0.955438445279664	0.0929097829465158	"IS02"	0.836486794456627
"TEKT2"	"TEKT2"	-1.2291797418935	0.8205482343696	0.792524155639469	-0.560517654992793	"IS02"	0.8205482343696
"TMPRSS2"	"TMPRSS2"	-1.19295886524295	0.793183055980427	0.730042966465019	-0.513358188943961	"IS02"	0.793183055980427
"SULF1"	"SULF1"	-0.449894442583622	0.790773836703562	-0.516756920122857	-0.182240815834934	"IS02"	0.790773836703562
"FOLR1"	"FOLR1"	-0.919697198585976	0.784815650380114	0.628998098837268	-0.631476607246039	"IS02"	0.784815650380114
"ALDH1A3"	"ALDH1A3"	-0.93831018100596	0.765018286524112	-0.76455767628711	0.370765589123178	"IS02"	0.765018286524112
"MGST1"	"MGST1"	-0.661000007146108	0.763019469537785	-0.984318431806776	0.325137176256784	"IS02"	0.763019469537785
"PLVAP"	"PLVAP"	-1.28617091338627	0.748723321452498	-0.61109480921293	0.533401310187839	"IS02"	0.748723321452498
"C1R"	"C1R"	-1.32306817825717	0.747821950859448	-0.801101428721698	0.692906321831606	"IS02"	0.747821950859448
"SLPI"	"SLPI"	-0.112809712991926	0.733356148031384	-0.985109815868711	-0.0378473267563104	"IS02"	0.733356148031384
"PRELP"	"PRELP"	-1.07586350935319	0.731758687666243	-0.565155239995846	0.368168655729727	"IS02"	0.731758687666243
"TCEAL7"	"TCEAL7"	-1.16007130243296	0.730403711431168	0.151737328149728	-0.0670345479897142	"IS02"	0.730403711431168
"DKK2"	"DKK2"	-1.02107852008931	0.727713571704794	-0.488815228786736	0.280041635764919	"IS02"	0.727713571704794
"DYDC2"	"DYDC2"	-0.429992185591981	0.711837358779018	-0.883229861490092	0.144144464089283	"IS02"	0.711837358779018
"TGFB3"	"TGFB3"	-0.649166553465538	0.700833773818215	-0.657852340063944	0.158114628618692	"IS02"	0.700833773818215
"TRIL"	"TRIL"	-1.31085462801204	0.70041263906876	-0.19740839048531	0.317035830107059	"IS02"	0.70041263906876
"EPCAM"	"EPCAM"	-1.02155839638873	0.694659199190884	0.168192909117509	-0.139377617060065	"IS02"	0.694659199190884
