"IS01"	"IS02"	"IS03"	"IS04"
"FOXRED1__pos"	2.22044604925031e-16	4.76173698707305	3.98357754015012e-09	9.15659508705918
"ZNF713__pos"	1.0289850628456	4.18674583028719	1.78539986333793	6.83475315368683
"TM9SF1__pos"	2.22044604925031e-16	3.26149061049314	2.70649649248101	8.05439509204115
"CLUAP1__pos"	1.11324374195833	0.542339626241991	8.27233540173905	4.33235500969162
"PLCB3__pos"	0.0831566234634728	0.562875230931403	3.93769515387214	9.45427553254705
"FERMT2__pos"	1.43951072038568	4.41171912192349	2.72675696956956	5.86702355515089
"TGFBR3__pos"	2.22044604925031e-16	7.9215061983214	2.22044604925031e-16	6.24745508469656
"PLSCR4__pos"	1.03772780987622	8.83058236612877	2.22044604925031e-16	3.98882439591761
"SLC29A1__pos"	2.22044604925031e-16	4.61120835207007	3.8432417187984	5.20199816145052
"RMND1__pos"	1.24582686805212	5.15579400184191	2.87608886266349	4.88349389218326
"PPP1R13L__pos"	0.000988795249602637	3.42443277529775	0.809102988604366	9.83141271300424
"EPAS1__pos"	0.333133777557512	1.88761550341015	1.76922499997357	9.95366367000043
"AHCYL2__pos"	0.0176015374522911	7.87617245721126	0.165443357256323	6.04107678636962
"PARD3B__pos"	2.22044604925031e-16	5.24174080812154	2.22044604925031e-16	8.67031303248044
"SOX18__pos"	2.22044604925031e-16	2.71387277857237	2.9101127691997	8.10568304716698
"GMEB1__pos"	5.51584119059275	5.41879871165218	2.22044604925031e-16	1.29685931466717
"RPS24__pos"	5.84449007558538	1.68292493344187	0.190598391237236	4.57987262465012
"CRLF3__pos"	4.10142429427184	1.3980231489304	9.04430305529882	0.644406346468384
"ANKRD29__pos"	2.22044604925031e-16	5.39922626349223	2.22044604925031e-16	7.65894289553545
"NAV2__pos"	2.22044604925031e-16	2.34040543508667	1.95235980711571	9.78394237201525
"CABLES1__pos"	2.22044604925031e-16	4.60840704322723	2.44825453628592	6.953117147214
"FAM98A__pos"	0.172488704581263	6.16750393443071	1.80343859710825	6.20375085154324
"KLHL23__pos"	0.443406091478118	4.17380419795034	1.49764429096593	7.70862006796485
"GGPS1__pos"	0.338176796636436	5.59517136302292	0.389772173280291	8.24456323257149
"PCDHB13__pos"	0.165618358724129	5.00078564667041	1.22419155333827	6.52968958775294
"CSRP2__pos"	0.349354905059746	6.86584781675075	1.92841801526621	5.2332391040919
"APLNR__pos"	2.22044604925031e-16	4.95015651294231	3.89791130630714	5.37390739782318
"TRMT10A__pos"	2.22044604925031e-16	6.22818727349572	4.20353176103656	4.29356991765248
"AQP1__pos"	2.22044604925031e-16	5.39607926693679	0.638747723145158	7.85903680722362
"CLU__pos"	0.205098685849805	2.27067998749072	12.1895741206234	0.415908200789798
"ERG__pos"	2.94797366874299	4.87279569103735	2.22044604925031e-16	6.50196355331548
"NOP2__pos"	1.46713320085274e-08	2.34008382476936	2.72758812206256	7.55301700912075
"IQCK__pos"	2.22044604925031e-16	5.69547436453485	2.15956245700489	6.18887970597565
"RBP5__pos"	2.22044604925031e-16	2.22044604925031e-16	6.00581224066583	8.84253413362841
"JUND__pos"	2.74187469933585	2.22044604925031e-16	1.65731792000469	9.68377736864547
"PPFIBP1__pos"	2.22044604925031e-16	6.46502424556619	2.22044604925031e-16	6.8923294382028
"ZBED5__pos"	6.12870391309646	1.11296977376297e-11	6.09341999644575	2.50719108477457
"NFKBIL1__pos"	0.338247560090662	1.76554625221509	2.05510177846284	9.3382019273032
"RASA4__pos"	0.245897963386058	2.68055313939203	8.70295734740053e-13	10.3743144704412
"PLVAP__pos"	2.22044604925031e-16	3.38584542463393	4.61181146403838	6.0690851305214
"KCNK6__pos"	0.11489737196468	1.88727644676462	2.22044604925031e-16	10.9773459494413
"CLIP3__pos"	2.22044604925031e-16	6.13591542302707	3.37375833933122	5.65798132346692
"DCAF4__pos"	2.22044604925031e-16	1.6473986604216	4.29701016802705	8.93629755786902
"COL4A2__pos"	0.957500514825908	1.75889634418285	2.39653635143565	7.63070672507764
"FAM13C__pos"	2.22044604925031e-16	5.89534332586585	1.03259063995864	6.70504885796325
"SNRPF__pos"	0.859539455335517	3.12679688408609	10.7163830918903	0.932704796853568
"AKR1B1__pos"	1.25825023121324	0.289458016750468	7.97153921135488	5.34674286309853
"TLR5__pos"	2.52511930303533	3.0734449537577	3.06849542184298	4.97432728439375
"DHRS7__pos"	0.569703800757936	2.61801232875872	8.06297848994915	2.91076384876071
"CCDC102B__pos"	0.244517595813497	4.64031511454408	1.34041719317072	7.83213853098125
"NFASC__pos"	2.22044604925031e-16	3.70648444905167	1.00741084228199	9.2357905840377
"MED30__pos"	2.22044604925031e-16	5.77106183077888	4.52573229960344	5.17630463653974
"RPL36AL__pos"	2.22044604925031e-16	0.547443777143913	14.2514955781778	1.16157556618376
"ARHGEF17__pos"	2.22044604925031e-16	2.97214527522037	0.297051134371351	9.92815983066323
"DDAH2__pos"	0.725400223653739	1.70277080638816	3.27845228800284	8.31198352972704
"ARHGAP9__pos"	1.07549679426665	0.140188314100286	2.65766222050685	10.620735789978
"PTPN21__pos"	1.25354587513727e-05	5.36187456332081	2.22044604925031e-16	8.6176955188845
"C7__pos"	2.22044604925031e-16	4.41063567223442	3.06002698540083	6.31763135042488
"GLB1__pos"	0.532043902157527	4.01209728132062	0.581162552416633	8.29665703001455
"LYSMD3__pos"	0.292618485917729	7.10216439510547	2.46947811378936	3.71671464510211
"NTNG1__pos"	0.0880425782249055	5.90200528718801	2.77093694268379	5.74299744204497
"LAYN__pos"	2.22044604925031e-16	3.86215406000868	3.66171610807607	6.15896472378255
"C11orf80__pos"	0.24468774653812	6.09780831560691	0.230161645522432	7.4141961339747
"TMED10__pos"	2.22044604925031e-16	4.80391393192183	9.39889177534629	1.23080918396088
"PTK2__pos"	5.83076216016454	0.971096757533486	7.96368050059615	1.3173504192619
"ACAT2__pos"	2.22044604925031e-16	4.67244140436318	7.71097754195723	3.41156730755925
"SERPINF1__pos"	2.22044604925031e-16	3.92114974728906	4.14627502052804	5.85589619324691
"BCAM__pos"	2.22044604925031e-16	3.39995873255476	2.22044604925031e-16	10.1660400544198
"PDZRN3__pos"	0.608821353598618	3.14684411041624	0.914287973286372	8.76243886586379
"SNRPE__pos"	0.600014227181582	7.7925709975254	6.50164205347138	0.44885763528706
"RNASE4__pos"	2.22044604925031e-16	7.41160180209704	2.56294211499118	4.27368084169881
"ZNHIT1__pos"	2.67122560211105	1.71463903970786	1.29082931054061	7.9041129555245
"SFRP1__pos"	0.507356621497837	6.16597406438571	1.99111136858212	4.98516982572046
"AMOTL2__pos"	0.0948035312177453	2.60334535791568	9.70722634459456e-08	10.6569616350708
"DEPTOR__pos"	0.847797220323246	7.11153555999003	2.22044604925031e-16	5.79406461590478
"CFDP1__pos"	2.22044604925031e-16	3.36459864525483	8.41348810063379	4.03525777567474
"PRRX1__pos"	2.22044604925031e-16	9.09598834210411	2.22044604925031e-16	4.63029614608482
"SNW1__pos"	1.21332729955314e-14	2.12078987942223	10.7937251212005	1.80139411883979
"CNRIP1__pos"	0.091149336624948	6.46048722898938	0.00128485703577024	6.71364426936484
"PSPH__pos"	2.22044604925031e-16	4.44110155400165	2.85158281198145	6.73619744345608
