"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"EIF3A"	"EIF3A"	0.683649666571826	0.40491449804604	-0.913365493184935	-0.18616414998972	"IS01"	0.683649666571826
"PPP1R9B"	"PPP1R9B"	0.674943553425568	-0.0640472947801097	-0.350536537242003	-0.190128916435076	"IS01"	0.674943553425568
"RPL24"	"RPL24"	0.671525015540558	0.346612495131843	-1.2704093500438	0.209280157908579	"IS01"	0.671525015540558
"PARN"	"PARN"	0.668058959925866	-0.200136858420131	-0.116707208250556	-0.2513785630431	"IS01"	0.668058959925866
"GIMAP7"	"GIMAP7"	0.667633699441766	0.0095466075301547	-0.601105714848387	-0.0352501281329746	"IS01"	0.667633699441766
"COPS4"	"COPS4"	0.66004470395477	-0.0301375002997544	-0.507727231786048	-0.071156222816051	"IS01"	0.66004470395477
"KDM1A"	"KDM1A"	0.653103789505197	-0.39772969011311	0.166120677339098	-0.284778776558052	"IS01"	0.653103789505197
"PRR14"	"PRR14"	0.652880687778585	0.255275627344212	-0.148833779970926	-0.693037158734154	"IS01"	0.652880687778585
"AGAP2"	"AGAP2"	0.652648234208306	0.597664922305325	-0.397294852883829	-0.831579907227719	"IS01"	0.652648234208306
"WDR12"	"WDR12"	0.65219743759948	-0.529184531962675	0.0124329251390306	-0.00527801189987295	"IS01"	0.65219743759948
"SYF2"	"SYF2"	0.640341758454272	-0.145779491463986	-0.838075782327976	0.367484401566147	"IS01"	0.640341758454272
"UGP2"	"UGP2"	0.636715723797542	-0.137159203179906	-0.263650489989813	-0.158533360369673	"IS01"	0.636715723797542
"PHF5A"	"PHF5A"	0.63548701188621	0.291236086782611	-0.336202780579231	-0.546798787985728	"IS01"	0.63548701188621
"SPCS2"	"SPCS2"	0.61735057840052	0.215160916540146	-0.759442194978258	-0.067434195248624	"IS01"	0.61735057840052
"APBB1IP"	"APBB1IP"	0.603766604467499	-0.268628398727979	-0.373503631175927	0.108623989783824	"IS01"	0.603766604467499
"CALD1"	"CALD1"	0.599296015169921	0.0453163089762168	-0.201721883323624	-0.376487477734437	"IS01"	0.599296015169921
"PAGR1"	"PAGR1"	0.580275873136804	-0.128795593285947	-0.00235696742953	-0.355811941209488	"IS01"	0.580275873136804
"RPL38"	"RPL38"	0.576211302699708	-0.113174509124509	-0.733647182438486	0.293006515889478	"IS01"	0.576211302699708
"STAU1"	"STAU1"	0.567887410009186	-0.0557625585617081	-0.0937908181472346	-0.340052428703849	"IS01"	0.567887410009186
"NOP56"	"NOP56"	0.563418440329302	-0.0632003855618019	-0.150522543061108	-0.276990769189118	"IS01"	0.563418440329302
