NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	NlPHL
CST7	30.071405986625	21.4857777313197	14.1702800971623	5319.61217904341	201.117842311538	1481.53612809937	750.733166221205	325.755660782015	12371.0985356245	1336.81919046094	11756.2240609025	10141.866523185	64.9791581255277	256.121137605947	189.691312703981	293.895033752997	1500.00440411632	4054.64860721984	2315.39313030839	2507.78519415133	622.923445547044	2344.27175271242	2501.50449517195
CTLA4	19.4914535771547	12.1174624749209	12.5068091343653	19.330599558305	286.771853101591	610.212617966178	1877.73141657472	2060.20500840416	23.1867722129242	4137.56596392919	11.1905012229003	18.917250309986	18.7560607212224	14.3352192438019	8.60085650455899	18.2711822263767	16.6146775708611	12.6008670769431	18.2712587436756	15.0008277575563	62.9900050656808	38.8600687836423	248.764910936364
CTSG	251.089918437641	206.711556827435	208.842553549064	115.709490327178	137.590488366853	82.9494243016921	74.6793977358872	39.1849219891757	159.329954969781	226.843301165865	311.631540237044	107.38179505368	89.5573826390606	66.4112017547916	89.8360872214643	142.526860308162	70.9784239858997	42.7319765119066	5784.95099344028	5563.77768946146	137.477898612385	185.779007463348	66.5224022151515
CTSW	16.730985829617	14.1182957986425	16.4073246980179	5010.1351071383	493.473483927115	965.844769280915	23.4091558919772	14.9438985322842	4166.27172089851	12.8849038924711	7075.11212380081	10875.9376172157	17.1427435682529	16.0180619389249	13.1013576632567	27.1476510229722	16.3902445766625	15.9942900283468	121.871335746443	275.264360527976	42.3801597649622	20.5165314443656	19.4286683145839
CXCL10	769.81721816777	399.525109990331	249.361123908129	160.445897006439	123.472692698667	155.766361891881	534.510521723718	130.775069507429	495.433918650174	257.886134840552	203.668106681302	1533.72022150489	503.371120934947	164.211195749221	33514.6000945982	279.083681686529	165.198012595006	11449.3569765858	114.490372205016	316.390451719779	334.119041887281	485.235042259024	2397.55264243154
CXCL11	91.1236566285443	72.868082258022	45.5263502513272	23.0877851998463	6.77117798965652	14.5127402116063	52.5803121156356	24.1561030225025	42.7856264019561	42.8398086100035	29.1212476447031	185.707970893228	39.0153536787422	16.9483928444728	9121.98034118136	29.8694881785232	21.3427169720934	3961.33640978403	28.2659110640563	34.1364985515676	34.348831322842	74.889629679878	28.9738631453055
CXCL13	51.0740264414057	22.8431707329836	17.4384653879342	22.7216132999018	6.21006398489014	9.05652873833512	283.362760419501	9904.65255796211	7.73129093708672	13.4929238197011	10.1431243056289	16.2910351366571	10.404615040816	11.8268793471273	632.160624690776	16.9366336697629	12.8389836623404	21.1925345398806	26.0420322436683	11.0916891175316	11.2197231525138	29.8072878662117	6947.44328913553
CXCL3	73.9914908014555	28.6063600019768	57.5043188330953	26.9797770499831	17.4216818390744	30.4255434617831	27.0449197406938	28.4269491340592	46.6812814000396	137.393880438677	17.686873025996	30.5353330019004	177.878436078703	1506.52202284225	274.119923917067	235.339589197752	81.9516864274465	159.032443343007	152.4062150424	8136.67084662856	44.3969534296648	76.0321864313329	35.1841756437711
CXCL5	95.0577776912713	84.3159662958143	44.0626490105766	18.7308572803714	7.9809594038832	41.9981035287091	25.235160008353	19.2581146139306	79.9612855641602	74.5983504542009	25.4545230107497	29.4804667784513	33.3312257149026	5354.34914177146	93.9644427175006	47.3098729400192	37.6551065950048	389.028648663666	50.3057020056232	624.710533255457	29.6048457073576	70.374221986722	31.3788122192841
CXCL9	601.846684623439	442.978618319098	271.394466080722	128.900740965864	79.4062441578094	153.845608500626	262.597612327632	145.847461183617	223.821807640892	160.923067206679	189.535030969623	596.346053105454	266.67394261986	169.830590174222	40338.0531729946	200.877757732219	181.311994653108	2928.8512259093	125.558681874771	101.036888925719	194.482374050702	402.107175587272	15494.9047684726
