"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"TMA7"	"TMA7"	0.828861761347702	-0.828861761347702	"S01"	0.828861761347702	"IS01"
"HTATSF1"	"HTATSF1"	0.822825294088476	-0.822825294088476	"S01"	0.822825294088476	"IS01"
"GIGYF1"	"GIGYF1"	0.818534010639682	-0.818534010639682	"S01"	0.818534010639682	"IS01"
"BOP1"	"BOP1"	0.817872813838521	-0.817872813838521	"S01"	0.817872813838521	"IS01"
"SLC12A8"	"SLC12A8"	0.815963636199384	-0.815963636199384	"S01"	0.815963636199384	"IS01"
"HNRNPUL2.BSCL2"	"HNRNPUL2.BSCL2"	0.814557019941378	-0.814557019941378	"S01"	0.814557019941378	"IS01"
"CEACAM21"	"CEACAM21"	0.811901922658534	-0.811901922658534	"S01"	0.811901922658534	"IS01"
"SOX12"	"SOX12"	0.80588433892109	-0.80588433892109	"S01"	0.80588433892109	"IS01"
"INCA1"	"INCA1"	0.799089619703779	-0.799089619703779	"S01"	0.799089619703779	"IS01"
"XPC"	"XPC"	0.798990654606971	-0.798990654606971	"S01"	0.798990654606971	"IS01"
"ETHE1"	"ETHE1"	0.796721201747764	-0.796721201747764	"S01"	0.796721201747764	"IS01"
"SNRPD2"	"SNRPD2"	0.794345092447297	-0.794345092447297	"S01"	0.794345092447297	"IS01"
"CHRNA6"	"CHRNA6"	0.792513896903059	-0.792513896903059	"S01"	0.792513896903059	"IS01"
"IFITM1"	"IFITM1"	0.786272374678132	-0.786272374678132	"S01"	0.786272374678132	"IS01"
"ZNF622"	"ZNF622"	0.785856037760774	-0.785856037760774	"S01"	0.785856037760774	"IS01"
"ZNFX1"	"ZNFX1"	0.779896164301284	-0.779896164301284	"S01"	0.779896164301284	"IS01"
"TOP1"	"TOP1"	0.778146236705161	-0.778146236705161	"S01"	0.778146236705161	"IS01"
"RBM8A"	"RBM8A"	0.777474846625031	-0.777474846625031	"S01"	0.777474846625031	"IS01"
"CSRNP2"	"CSRNP2"	0.776149393580623	-0.776149393580623	"S01"	0.776149393580623	"IS01"
"LMNB2"	"LMNB2"	0.776117038300254	-0.776117038300254	"S01"	0.776117038300254	"IS01"
"EIF4A1"	"EIF4A1"	0.771646104770378	-0.771646104770378	"S01"	0.771646104770378	"IS01"
"PHF23"	"PHF23"	0.77100976830755	-0.77100976830755	"S01"	0.77100976830755	"IS01"
"ST6GALNAC3"	"ST6GALNAC3"	0.768973789007811	-0.768973789007811	"S01"	0.768973789007811	"IS01"
"TBL1X"	"TBL1X"	0.765114254704557	-0.765114254704557	"S01"	0.765114254704557	"IS01"
"SFMBT1"	"SFMBT1"	0.764208036504515	-0.764208036504515	"S01"	0.764208036504515	"IS01"
"NOLC1"	"NOLC1"	0.759888696414159	-0.759888696414159	"S01"	0.759888696414159	"IS01"
"EPHX2"	"EPHX2"	0.759293572589048	-0.759293572589048	"S01"	0.759293572589048	"IS01"
"RPS23"	"RPS23"	0.757553606578392	-0.757553606578392	"S01"	0.757553606578392	"IS01"
"IDH2"	"IDH2"	0.756373119525888	-0.756373119525888	"S01"	0.756373119525888	"IS01"
"FUK"	"FUK"	0.751813938670189	-0.751813938670189	"S01"	0.751813938670189	"IS01"
"U2AF1L4"	"U2AF1L4"	0.750227265745562	-0.750227265745562	"S01"	0.750227265745562	"IS01"
"ST13"	"ST13"	0.74874611504961	-0.74874611504961	"S01"	0.74874611504961	"IS01"
"PELP1"	"PELP1"	0.740842305370576	-0.740842305370576	"S01"	0.740842305370576	"IS01"
"SAMD10"	"SAMD10"	0.739457091720806	-0.739457091720806	"S01"	0.739457091720806	"IS01"
"RPL26L1"	"RPL26L1"	0.738655621339682	-0.738655621339682	"S01"	0.738655621339682	"IS01"
"WWOX"	"WWOX"	0.737440459614335	-0.737440459614335	"S01"	0.737440459614335	"IS01"
"MAP7D1"	"MAP7D1"	0.734019613287697	-0.734019613287697	"S01"	0.734019613287697	"IS01"
"BIN3"	"BIN3"	0.721850748039826	-0.721850748039826	"S01"	0.721850748039826	"IS01"
"IPO4"	"IPO4"	0.721245524746793	-0.721245524746793	"S01"	0.721245524746793	"IS01"
"ZNF593"	"ZNF593"	0.719857611507609	-0.719857611507609	"S01"	0.719857611507609	"IS01"
"ZNF106"	"ZNF106"	0.71266705470636	-0.71266705470636	"S01"	0.71266705470636	"IS01"
"LGALS14"	"LGALS14"	0.712309346228946	-0.712309346228946	"S01"	0.712309346228946	"IS01"
"MTRNR2L8"	"MTRNR2L8"	0.707845522217866	-0.707845522217866	"S01"	0.707845522217866	"IS01"
"HIST1H2BL"	"HIST1H2BL"	0.704002273262187	-0.704002273262187	"S01"	0.704002273262187	"IS01"
"RANBP1"	"RANBP1"	0.701230591319103	-0.701230591319103	"S01"	0.701230591319103	"IS01"
"LRRN2"	"LRRN2"	0.692472295726981	-0.692472295726981	"S01"	0.692472295726981	"IS01"
"CSK"	"CSK"	0.688118022017029	-0.688118022017029	"S01"	0.688118022017029	"IS01"
"ABCF2"	"ABCF2"	0.686418226680251	-0.686418226680251	"S01"	0.686418226680251	"IS01"
"RAB35"	"RAB35"	0.682128711477187	-0.682128711477187	"S01"	0.682128711477187	"IS01"
"MEA1"	"MEA1"	0.680735725573613	-0.680735725573613	"S01"	0.680735725573613	"IS01"
"KIAA1522"	"KIAA1522"	0.674981265800158	-0.674981265800158	"S01"	0.674981265800158	"IS01"
"GBP6"	"GBP6"	0.674664231527368	-0.674664231527368	"S01"	0.674664231527368	"IS01"
"NEDD8"	"NEDD8"	0.66940073194725	-0.66940073194725	"S01"	0.66940073194725	"IS01"
"NIM1K"	"NIM1K"	0.6692786276552	-0.6692786276552	"S01"	0.6692786276552	"IS01"
"TMIGD2"	"TMIGD2"	0.668535203814692	-0.668535203814692	"S01"	0.668535203814692	"IS01"
"NOSIP"	"NOSIP"	0.660241950487448	-0.660241950487448	"S01"	0.660241950487448	"IS01"
"SYNGAP1"	"SYNGAP1"	0.653969109278063	-0.653969109278063	"S01"	0.653969109278063	"IS01"
"LIG1"	"LIG1"	0.653418852674037	-0.653418852674037	"S01"	0.653418852674037	"IS01"
"HOOK2"	"HOOK2"	0.651142882034653	-0.651142882034653	"S01"	0.651142882034653	"IS01"
"ATP5H"	"ATP5H"	0.651087256808888	-0.651087256808888	"S01"	0.651087256808888	"IS01"
"PLS1"	"PLS1"	0.643509105910916	-0.643509105910916	"S01"	0.643509105910916	"IS01"
"PPP1R7"	"PPP1R7"	0.641084795209778	-0.641084795209778	"S01"	0.641084795209778	"IS01"
"HMGN5"	"HMGN5"	0.640298714805709	-0.640298714805709	"S01"	0.640298714805709	"IS01"
"PSMC3"	"PSMC3"	0.639779498402571	-0.639779498402571	"S01"	0.639779498402571	"IS01"
"TAPBPL"	"TAPBPL"	0.638023807771745	-0.638023807771745	"S01"	0.638023807771745	"IS01"
"CEACAM16"	"CEACAM16"	0.637973693150174	-0.637973693150174	"S01"	0.637973693150174	"IS01"
"ATP1A3"	"ATP1A3"	0.635928269016807	-0.635928269016807	"S01"	0.635928269016807	"IS01"
"ATG3"	"ATG3"	0.635836339403328	-0.635836339403328	"S01"	0.635836339403328	"IS01"
"GPR25"	"GPR25"	0.631489370435572	-0.631489370435572	"S01"	0.631489370435572	"IS01"
"RAB13"	"RAB13"	0.631358146030076	-0.631358146030076	"S01"	0.631358146030076	"IS01"
"NOC2L"	"NOC2L"	0.630940527213215	-0.630940527213215	"S01"	0.630940527213215	"IS01"
"CD7"	"CD7"	0.630900850817462	-0.630900850817462	"S01"	0.630900850817462	"IS01"
"NKD1"	"NKD1"	0.627208227689255	-0.627208227689255	"S01"	0.627208227689255	"IS01"
"BRD9"	"BRD9"	0.621540742015797	-0.621540742015797	"S01"	0.621540742015797	"IS01"
"GPRC5A"	"GPRC5A"	0.618998500477522	-0.618998500477522	"S01"	0.618998500477522	"IS01"
"C9orf78"	"C9orf78"	0.615239134060141	-0.615239134060141	"S01"	0.615239134060141	"IS01"
"EHMT1"	"EHMT1"	0.614916866453991	-0.614916866453991	"S01"	0.614916866453991	"IS01"
"ATP5I"	"ATP5I"	0.613730565470606	-0.613730565470606	"S01"	0.613730565470606	"IS01"
"RPL36A"	"RPL36A"	0.613059916170172	-0.613059916170172	"S01"	0.613059916170172	"IS01"
"SRP68"	"SRP68"	0.608637655946314	-0.608637655946314	"S01"	0.608637655946314	"IS01"
"IGFL2"	"IGFL2"	0.607298869276505	-0.607298869276505	"S01"	0.607298869276505	"IS01"
"BTBD11"	"BTBD11"	0.606329295912723	-0.606329295912723	"S01"	0.606329295912723	"IS01"
"TBC1D10B"	"TBC1D10B"	0.605110327007862	-0.605110327007862	"S01"	0.605110327007862	"IS01"
"NUBPL"	"NUBPL"	0.602416928556615	-0.602416928556615	"S01"	0.602416928556615	"IS01"
"CRLF1"	"CRLF1"	0.600717762312042	-0.600717762312042	"S01"	0.600717762312042	"IS01"
"TPM3"	"TPM3"	0.592368003350387	-0.592368003350387	"S01"	0.592368003350387	"IS01"
"ZC3H8"	"ZC3H8"	0.586692856598495	-0.586692856598495	"S01"	0.586692856598495	"IS01"
"PAK1IP1"	"PAK1IP1"	0.585337563996167	-0.585337563996167	"S01"	0.585337563996167	"IS01"
"HIST1H2BB"	"HIST1H2BB"	0.573000911318147	-0.573000911318147	"S01"	0.573000911318147	"IS01"
"TNIP3"	"TNIP3"	0.568777842622384	-0.568777842622384	"S01"	0.568777842622384	"IS01"
"SMC1B"	"SMC1B"	0.56640963994931	-0.56640963994931	"S01"	0.56640963994931	"IS01"
"NAB2"	"NAB2"	0.566196675353093	-0.566196675353093	"S01"	0.566196675353093	"IS01"
"CD99L2"	"CD99L2"	0.565947700940072	-0.565947700940072	"S01"	0.565947700940072	"IS01"
"KDM6B"	"KDM6B"	0.562297656409746	-0.562297656409746	"S01"	0.562297656409746	"IS01"
"CHMP4B"	"CHMP4B"	0.561242486497361	-0.561242486497361	"S01"	0.561242486497361	"IS01"
