"Gene"	"IS01"	"IS02"	"State"	"MaxFC"
"TOP1"	"TOP1"	0.778146236705161	-0.778146236705161	"IS01"	0.778146236705161
"RBM8A"	"RBM8A"	0.777474846625031	-0.777474846625031	"IS01"	0.777474846625031
"CSRNP2"	"CSRNP2"	0.776149393580623	-0.776149393580623	"IS01"	0.776149393580623
"LMNB2"	"LMNB2"	0.776117038300254	-0.776117038300254	"IS01"	0.776117038300254
"EIF4A1"	"EIF4A1"	0.771646104770378	-0.771646104770378	"IS01"	0.771646104770378
"PHF23"	"PHF23"	0.77100976830755	-0.77100976830755	"IS01"	0.77100976830755
"ST6GALNAC3"	"ST6GALNAC3"	0.768973789007811	-0.768973789007811	"IS01"	0.768973789007811
"TBL1X"	"TBL1X"	0.765114254704557	-0.765114254704557	"IS01"	0.765114254704557
"SFMBT1"	"SFMBT1"	0.764208036504515	-0.764208036504515	"IS01"	0.764208036504515
"NOLC1"	"NOLC1"	0.759888696414159	-0.759888696414159	"IS01"	0.759888696414159
"EPHX2"	"EPHX2"	0.759293572589048	-0.759293572589048	"IS01"	0.759293572589048
"RPS23"	"RPS23"	0.757553606578392	-0.757553606578392	"IS01"	0.757553606578392
"IDH2"	"IDH2"	0.756373119525888	-0.756373119525888	"IS01"	0.756373119525888
"FUK"	"FUK"	0.751813938670189	-0.751813938670189	"IS01"	0.751813938670189
"U2AF1L4"	"U2AF1L4"	0.750227265745562	-0.750227265745562	"IS01"	0.750227265745562
"ST13"	"ST13"	0.74874611504961	-0.74874611504961	"IS01"	0.74874611504961
"PELP1"	"PELP1"	0.740842305370576	-0.740842305370576	"IS01"	0.740842305370576
"SAMD10"	"SAMD10"	0.739457091720806	-0.739457091720806	"IS01"	0.739457091720806
"RPL26L1"	"RPL26L1"	0.738655621339682	-0.738655621339682	"IS01"	0.738655621339682
"WWOX"	"WWOX"	0.737440459614335	-0.737440459614335	"IS01"	0.737440459614335
"MAP7D1"	"MAP7D1"	0.734019613287697	-0.734019613287697	"IS01"	0.734019613287697
"BIN3"	"BIN3"	0.721850748039826	-0.721850748039826	"IS01"	0.721850748039826
"IPO4"	"IPO4"	0.721245524746793	-0.721245524746793	"IS01"	0.721245524746793
"ZNF593"	"ZNF593"	0.719857611507609	-0.719857611507609	"IS01"	0.719857611507609
"ZNF106"	"ZNF106"	0.71266705470636	-0.71266705470636	"IS01"	0.71266705470636
"LGALS14"	"LGALS14"	0.712309346228946	-0.712309346228946	"IS01"	0.712309346228946
"MTRNR2L8"	"MTRNR2L8"	0.707845522217866	-0.707845522217866	"IS01"	0.707845522217866
"HIST1H2BL"	"HIST1H2BL"	0.704002273262187	-0.704002273262187	"IS01"	0.704002273262187
"RANBP1"	"RANBP1"	0.701230591319103	-0.701230591319103	"IS01"	0.701230591319103
"LRRN2"	"LRRN2"	0.692472295726981	-0.692472295726981	"IS01"	0.692472295726981
"CSK"	"CSK"	0.688118022017029	-0.688118022017029	"IS01"	0.688118022017029
"ABCF2"	"ABCF2"	0.686418226680251	-0.686418226680251	"IS01"	0.686418226680251
"RAB35"	"RAB35"	0.682128711477187	-0.682128711477187	"IS01"	0.682128711477187
"MEA1"	"MEA1"	0.680735725573613	-0.680735725573613	"IS01"	0.680735725573613
"KIAA1522"	"KIAA1522"	0.674981265800158	-0.674981265800158	"IS01"	0.674981265800158
"GBP6"	"GBP6"	0.674664231527368	-0.674664231527368	"IS01"	0.674664231527368
"NEDD8"	"NEDD8"	0.66940073194725	-0.66940073194725	"IS01"	0.66940073194725
"NIM1K"	"NIM1K"	0.6692786276552	-0.6692786276552	"IS01"	0.6692786276552
"TMIGD2"	"TMIGD2"	0.668535203814692	-0.668535203814692	"IS01"	0.668535203814692
"NOSIP"	"NOSIP"	0.660241950487448	-0.660241950487448	"IS01"	0.660241950487448
"SYNGAP1"	"SYNGAP1"	0.653969109278063	-0.653969109278063	"IS01"	0.653969109278063
"LIG1"	"LIG1"	0.653418852674037	-0.653418852674037	"IS01"	0.653418852674037
"HOOK2"	"HOOK2"	0.651142882034653	-0.651142882034653	"IS01"	0.651142882034653
"ATP5H"	"ATP5H"	0.651087256808888	-0.651087256808888	"IS01"	0.651087256808888
"PLS1"	"PLS1"	0.643509105910916	-0.643509105910916	"IS01"	0.643509105910916
