"IS01"	"IS02"
"LMNB1__pos"	0.554313729439933	10.1548613929507
"LRRC74A__pos"	8.8320580793812	3.36567871877705
"LRRN2__pos"	9.90261987397067	1.65881586161659
"LUC7L2__pos"	0.398800198397632	11.1733560314742
"LUZP1__pos"	0.116961183003962	10.6277451260136
"MAGOHB__pos"	6.13061503855639	4.70953506569698
"MAN1C1__pos"	6.99932207502222	4.48969485435877
"MCM2__pos"	8.93335739006978	1.20072708631979
"MIF__pos"	1.16681645222767	11.0064578962589
"MPHOSPH10__pos"	1.93643846983488	10.0539230462891
"MRFAP1__pos"	1.15353541675231	9.75116470734986
"MYB__pos"	1.92686809945308	8.62438023020131
"MYBPC2__pos"	10.1680510963413	0.310790270058067
"MYH9__pos"	2.22044604925031e-16	11.8547676699455
"NASP__pos"	1.88577492585329	8.71993720440559
"NEDD8__pos"	7.36123948685832	2.23815646358565
"NMT1__pos"	9.57785277878263	1.26851688026721
"NNAT__pos"	8.3184547757071	2.36811198804347
"NSA2__pos"	2.80468252406243	7.62216160324818
"NUBPL__pos"	7.38597716512079	2.48714304712742
"NUPR1__pos"	6.77023323772746	2.05663887015439
"PAK1IP1__pos"	7.87198621003348	2.12520217122678
"PARP1__pos"	4.71480258237792	5.94608665267839
"PDHB__pos"	6.47251402747378	3.60351993392914
"PET117__pos"	2.23303656201904	8.13817091325548
"PHB2__pos"	3.1191158855644	6.6469041434173
"PHRF1__pos"	6.68260975166237	3.14816400007632
"POLR2J__pos"	3.06049296344002	7.787580585824
"PPP1R7__pos"	8.37180003600465	1.6168762821557
"PSD__pos"	8.64513658490328	1.78252171030778
"PSME1__pos"	9.35380973445606	0.359542487881422
"PSMG1__pos"	3.35790302137361	8.01673525140233
"PTPN7__pos"	2.12208596354654	9.0282472384383
"RAPGEF6__pos"	7.27694396977583	2.15765990289185
"RBM5__pos"	2.19656673722945	8.59427461479734
"RPL10A__pos"	0.99350689449492	10.8781886489202
"RPL13A__pos"	4.69602293984225	5.57755513918814
"RPL26L1__pos"	9.17696791326349	0.486620061190778
"RPL3__pos"	0.533890832061995	11.3537028734018
"RPL35__pos"	0.534781652771153	10.4171236208975
"RPL36AL__pos"	2.74464192314915	8.14338877945007
"RPS11__pos"	4.40624156287684	5.4829723329123
"RPS7__pos"	0.258885394018584	10.5882781432532
"SAFB2__pos"	2.22044604925031e-16	10.4768507698251
"SELL__pos"	0.996796755244535	10.1517153587984
"SERBP1__pos"	2.79798364917657	8.11497959951696
"SGPL1__pos"	8.94538411287217	1.01002619280872
"SLC12A8__pos"	8.23720194603616	2.2705975543272
"SMC3__pos"	0.58768979639659	11.2343818401037
"SPCS2__pos"	0.229585127073357	10.8040995280543
"SRP14__pos"	8.94984588749056	0.947753062762217
"SRSF3__pos"	1.69451832149548	8.8314359036491
"ST6GALNAC3__pos"	8.42726462277148	2.1038749126677
"SUPT5H__pos"	5.26784621732598	4.861989444805
"TAPBPL__pos"	8.02469067345547	1.79571866786084
"TCF7__pos"	5.89024992399834	4.33686427279152
"TLCD1__pos"	8.54765175004471	2.68777619397673
"TMSB10__pos"	3.27270633477101	7.18929110829493
"TNIP1__pos"	2.22044604925031e-16	10.8240506944565
"TOMM40__pos"	1.75050911178331	9.90132581166874
"TONSL__pos"	3.16948337075106	7.52959756274904
"TTN__pos"	5.00869301001482	5.00092807882706
