"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"QPCT"	"QPCT"	0.500249106316013	-0.37335230712014	0.325912897685094	0.281009475132893	-1.00247849609901	"IS01"	0.500249106316013
"FAM72D"	"FAM72D"	0.495926526671135	-0.205946498520372	-0.10675777473176	0.1406268076203	-0.449273527201383	"IS01"	0.495926526671135
"HAUS2"	"HAUS2"	0.495748278087764	-0.420852985700014	0.232812615827361	0.0204068719189201	-0.478728647468396	"IS01"	0.495748278087764
"HTRA1"	"HTRA1"	0.491167525846374	-0.0600633278229519	0.120938100979971	0.453316826080808	-1.26984589489621	"IS01"	0.491167525846374
"FSIP1"	"FSIP1"	0.48115738825839	-0.122336088396508	0.317285305064578	0.144577298627871	-0.982577489225209	"IS01"	0.48115738825839
"NANOGP8"	"NANOGP8"	0.471503459548279	0.0121280979702228	0.276501783181872	-0.142587590592398	-0.623583392499221	"IS01"	0.471503459548279
"TNFSF14"	"TNFSF14"	0.471298446901499	0.354211599348454	0.373080525650461	-0.0995717436350103	-1.07551417235883	"IS01"	0.471298446901499
"OR2W3"	"OR2W3"	0.460247381083236	0.340792019654118	0.185245743683083	-0.64228979979907	-0.0602410495079758	"IS01"	0.460247381083236
"DHCR7"	"DHCR7"	0.459394848789146	-0.184167414968745	0.25294814218296	-0.312239503264705	-0.177818850029453	"IS01"	0.459394848789146
"CALM2"	"CALM2"	0.44785927406075	-1.02640937533242	0.114323340999007	0.0206463810252839	0.204623229962597	"IS01"	0.44785927406075
"CCDC175"	"CCDC175"	0.441547293607772	-0.783350669067095	0.263862193937194	-0.143069697296955	0.0795535320124847	"IS01"	0.441547293607772
"GGT5"	"GGT5"	0.422300349202564	-0.765107259092027	0.334843551846887	0.421468894506369	-0.807602177956266	"IS01"	0.422300349202564
"MRPS35"	"MRPS35"	0.417503921980897	-0.578974947233765	0.0906317704787911	0.166737288992189	-0.315498515201315	"IS01"	0.417503921980897
"ARMC2"	"ARMC2"	0.401900884356164	0.211414873330981	0.309420080611309	0.0447552620196935	-1.01948234245231	"IS01"	0.401900884356164
"E2F8"	"E2F8"	0.398556235962383	0.181928647065849	0.373688371829634	0.382534408134219	-1.55020797762922	"IS01"	0.398556235962383
"ZNF28"	"ZNF28"	0.386808322617858	0.376968708424602	-0.347311087617633	0.201990229487862	-0.631168516277447	"IS01"	0.386808322617858
"SDCBP"	"SDCBP"	0.380444357698962	-1.09390750328986	0.0536878174258672	0.224581462682081	0.107146900590215	"IS01"	0.380444357698962
"KIAA1143"	"KIAA1143"	0.379760974055846	-0.290201520094146	0.0900352910908402	0.311218202835242	-0.720341131962785	"IS01"	0.379760974055846
"RAD23B"	"RAD23B"	0.355729874646871	-0.172068655438182	-0.531397473274131	0.260240367113108	-0.0227540964325097	"IS01"	0.355729874646871
"CPPED1"	"CPPED1"	0.327987166518714	0.183988597294132	0.23462238143806	0.259306002960796	-1.14242189197612	"IS01"	0.327987166518714
"OSER1"	"OSER1"	0.271621290446394	0.0467149005776942	0.0800003561709002	0.0182972264555068	-0.447970293717518	"IS01"	0.271621290446394
"GSTM5"	"GSTM5"	0.253875932913399	-0.0187049347088663	-0.0657625736171229	-0.0114400994923205	-0.168848418147491	"IS01"	0.253875932913399
"ATP6AP1"	"ATP6AP1"	0.245427565148754	0.224666796496148	0.176556785991733	-0.602169407880464	0.219582110628549	"IS01"	0.245427565148754
"ITGB1"	"ITGB1"	0.23631221013943	-0.233502724911547	-0.415108064639965	0.14507039631665	0.192746933908937	"IS01"	0.23631221013943
"IL6R"	"IL6R"	-0.157051793213248	1.20230962822466	-0.337885338551281	0.169962967238622	-0.688363201887426	"IS02"	1.20230962822466
"PPARD"	"PPARD"	-0.57605262905113	0.97182544544126	0.417563340406167	-0.30644223116378	-0.204603038324877	"IS02"	0.97182544544126
"TMEM116"	"TMEM116"	-0.883137223928547	0.962423067035189	-0.702423613028905	0.806897402499792	-0.215634701240833	"IS02"	0.962423067035189
"RGP1"	"RGP1"	-0.892195492843194	0.924636375894176	-0.167772442556339	0.542743024204264	-0.392492617440373	"IS02"	0.924636375894176
"P4HTM"	"P4HTM"	-0.785262554469206	0.912393452400249	0.0602213556076142	0.306291254352119	-0.412441457650207	"IS02"	0.912393452400249
"KLHL6"	"KLHL6"	-0.63513242300904	0.910597345365896	-0.484262118867793	0.342726215894581	-0.0162673916353792	"IS02"	0.910597345365896
"KDM3B"	"KDM3B"	-0.57505261668855	0.893910932515262	-0.00912823426574787	0.289548615785606	-0.522627794220567	"IS02"	0.893910932515262
"FLI1"	"FLI1"	-0.614945791140003	0.868824342842961	-0.224708704168476	-0.0284523705389345	0.24068806982722	"IS02"	0.868824342842961
"SUMO4"	"SUMO4"	-0.679712811951372	0.862076137591737	-0.594311146081011	0.633830706535512	-0.224365733814421	"IS02"	0.862076137591737
"HSFX1"	"HSFX1"	0.121977764685678	0.855769960334898	0.712780343216255	-0.243544953595038	-1.2843376400404	"IS02"	0.855769960334898
"GORASP1"	"GORASP1"	-0.678387252048996	0.855352725610218	0.146755631131461	0.0510161095076453	-0.209930803003694	"IS02"	0.855352725610218
"EEF2K"	"EEF2K"	-0.488487013558236	0.844815897565651	0.601781453620774	0.147609956081246	-1.05496318627269	"IS02"	0.844815897565651
"ACCS"	"ACCS"	-0.732628868048622	0.828075683173784	0.164085792693193	0.230671981160579	-0.407090370710889	"IS02"	0.828075683173784
"MAP2K2"	"MAP2K2"	-0.357961616290301	0.825406000029155	0.617791994774672	-0.710881565731893	0.0390929279696094	"IS02"	0.825406000029155
"CCDC97"	"CCDC97"	-0.556209702757838	0.815497327993348	0.725046787002717	0.0955293062496491	-1.02052600157688	"IS02"	0.815497327993348
"ABTB1"	"ABTB1"	-0.770936362737099	0.802208700977708	0.37476988932779	-0.18686637096605	0.0214650876295602	"IS02"	0.802208700977708
"DAP3"	"DAP3"	0.346250770573056	0.792411579896601	-0.65217941083266	0.527872105143753	-1.05823229614837	"IS02"	0.792411579896601
"ANKIB1"	"ANKIB1"	0.0347740517944942	0.789039468959453	-0.520802216450551	0.561970622480265	-0.9150223803825	"IS02"	0.789039468959453
"TESK1"	"TESK1"	-0.7367921161701	0.746140843866042	0.278554539508446	0.18995044361513	-0.404478386465276	"IS02"	0.746140843866042
"TAS2R31"	"TAS2R31"	-0.332329001009114	0.741207146967968	-0.423853217696888	0.670395418214183	-0.743600780799939	"IS02"	0.741207146967968
"ARHGAP27"	"ARHGAP27"	-0.527588863152266	0.740898658311951	0.632737732465036	-0.348940764076521	-0.246171266881869	"IS02"	0.740898658311951
"ZKSCAN1"	"ZKSCAN1"	0.00159186898293539	0.738188155249588	0.318788014469408	0.112038418897215	-1.12866081674829	"IS02"	0.738188155249588
"ZNF689"	"ZNF689"	0.0577290098224669	0.71866457112222	0.196123342118241	-0.0200029266593387	-0.845668491789445	"IS02"	0.71866457112222
"RRP1"	"RRP1"	0.402657690671482	0.712994374036276	0.521752375741328	-0.146988946670079	-1.39525541656484	"IS02"	0.712994374036276
"CREBZF"	"CREBZF"	-1.31551785631182	0.711032709601763	-0.572841793938983	0.7060172451274	0.459247707328103	"IS02"	0.711032709601763
"NMRK1"	"NMRK1"	-0.0267171270265485	0.700482643456716	0.127953095711962	0.0482458728689394	-0.761454580392204	"IS02"	0.700482643456716
"MAGED1"	"MAGED1"	0.369947257255775	0.691065535697496	-0.0341922921185252	-0.00437746391101677	-0.925049601491543	"IS02"	0.691065535697496
"SND1"	"SND1"	-0.479926085555521	0.685582105402985	0.357813783091121	0.25250115284011	-0.810985838564937	"IS02"	0.685582105402985
"NTAN1"	"NTAN1"	0.245452418231306	0.678323334777762	0.148233399983	-0.248789380703531	-0.63200799090179	"IS02"	0.678323334777762
"SLC41A3"	"SLC41A3"	-0.430104332519153	0.668101924410495	0.406761893307278	0.0174015831764516	-0.566438989275036	"IS02"	0.668101924410495
"AMDHD1"	"AMDHD1"	-0.616019652440848	0.657398524001006	0.645925412385099	-0.402087619387728	-0.0199327171137125	"IS02"	0.657398524001006
"SIRT2"	"SIRT2"	-0.514317883474781	0.655161277241179	0.414485639087394	0.18741601752745	-0.718383937221974	"IS02"	0.655161277241179
"VPS28"	"VPS28"	-0.0992773677652615	0.654708490952718	0.498885009329425	-0.83284878727785	0.209122285019284	"IS02"	0.654708490952718
"GSK3B"	"GSK3B"	0.0182779891691777	0.645014369313762	-0.279278040048767	-0.116141985545883	-0.0716584582916078	"IS02"	0.645014369313762
"ZNF609"	"ZNF609"	-0.690119761106504	0.639765393767167	-0.00857568642389003	0.145660839997971	0.0179986358909003	"IS02"	0.639765393767167
"SP1"	"SP1"	-0.12150708276707	0.635831683340878	-0.125852405414893	0.479295101255363	-0.94273638016737	"IS02"	0.635831683340878
"SLC25A37"	"SLC25A37"	-0.986844382862653	0.630413745513033	-0.473624852181526	0.372323958908674	0.54030220507677	"IS02"	0.630413745513033
"ASTE1"	"ASTE1"	-0.12829742736863	0.621105894502915	0.108850332313923	0.0833647697544208	-0.615447949822001	"IS02"	0.621105894502915
"RASGRP3"	"RASGRP3"	-0.599026564811854	0.619385684079676	-0.196335860119701	0.57933756284556	-0.478382246410754	"IS02"	0.619385684079676
"TIMM23B"	"TIMM23B"	-0.9160840905488	0.614673044241838	-0.248465932642541	0.579771071742286	-0.0741273209017417	"IS02"	0.614673044241838
"ZNF649"	"ZNF649"	-0.0638430019245001	0.594204236495806	0.457862188895691	-0.0629672188232404	-0.842715267993273	"IS02"	0.594204236495806
"ASB2"	"ASB2"	-0.274480097548132	0.584129196100789	0.344121686100086	-0.172476529728318	-0.321666481975529	"IS02"	0.584129196100789
"METTL2B"	"METTL2B"	0.0464795464592473	0.56695659337565	-0.0692369380830494	0.379817531454306	-0.987516898554859	"IS02"	0.56695659337565
"PITPNM2"	"PITPNM2"	-0.751318538088596	0.560537698562522	0.447847286958468	-0.337898598020855	0.335368971754063	"IS02"	0.560537698562522
"SUFU"	"SUFU"	-0.655305424979512	0.548576130831667	0.448373038121842	0.1486019804608	-0.460134031538672	"IS02"	0.548576130831667
"SLC35E2"	"SLC35E2"	-0.557791330366761	0.544278301077805	0.335315191175612	0.234959133352867	-0.559863512569308	"IS02"	0.544278301077805
"TRAPPC4"	"TRAPPC4"	-0.254240212241585	0.529619340091165	-0.349210986867337	0.100255936611039	0.0844630665195272	"IS02"	0.529619340091165
"GBGT1"	"GBGT1"	-0.455381907761423	0.519037042851056	-0.0980119778917551	0.290719721158609	-0.245049667910452	"IS02"	0.519037042851056
"ATP6V0A2"	"ATP6V0A2"	-0.131753433855477	0.511619079261506	-0.014329813901776	0.358929130267331	-0.780629631090354	"IS02"	0.511619079261506
"RPA4"	"RPA4"	-0.0886325656799851	0.500824363925807	-0.133350256888611	0.472967822536358	-0.849432570060562	"IS02"	0.500824363925807
"SPATA31A6"	"SPATA31A6"	0.0196056746341288	0.489898922691613	-0.0390999016480686	-0.280702109358432	0.0230985037979732	"IS02"	0.489898922691613
"SHMT2"	"SHMT2"	-0.0911414261257143	0.472081528384989	0.414219474322699	-0.0194983559302611	-0.726302762797659	"IS02"	0.472081528384989
"GART"	"GART"	0.150606506716261	0.466424699063693	-0.076378513679056	0.399388859695135	-1.0373598392974	"IS02"	0.466424699063693
"CELF6"	"CELF6"	0.289146933736702	0.459332705407668	0.270875996040638	0.107728327113605	-1.14965023543856	"IS02"	0.459332705407668
"WDR1"	"WDR1"	0.182616562306433	0.431458806353706	0.415340545408958	-0.815395617005802	0.156924369759379	"IS02"	0.431458806353706
