"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"RAI14__pos"	2.22044604925031e-16	1.98660869391589	7.96744332312031	6.16077353383675	2.22044604925031e-16
"RARB__pos"	1.20733617169027	0.357240900904771	3.48914213458474	7.59341355082338	3.81056989148746
"RASGRP3__pos"	2.22044604925031e-16	4.05245780321741	4.13155836279595	8.38796088865614	0.432347551630574
"RBM4__pos"	2.22044604925031e-16	4.64806232311363	2.22044604925031e-16	7.55930911572104	5.24672344102451
"RFC1__pos"	2.22044604925031e-16	3.84812771529857	3.4337707576098	8.61053066944344	2.22044604925031e-16
"RRP1__pos"	0.969193491207613	5.19121031014258	6.41239853968427	2.47552941442844	2.22044604925031e-16
"SEL1L__pos"	3.6643291444348	1.25589929281626	5.75490968841445	6.85546747026767	2.22044604925031e-16
"SHISA9__pos"	2.22044604925031e-16	2.22044604925031e-16	0.421366131720197	10.011593943646	5.50839335984657
"SLC10A7__pos"	0.954650910942305	3.45180597903421	2.22044604925031e-16	8.34719738075169	2.51621899374843
"SLC22A23__pos"	0.589385046901838	3.20053601555794	4.69745075041155	3.5721695371852	1.24981281917738
"SLC2A4RG__pos"	2.22044604925031e-16	3.1743391352883	10.1708447291794	2.74500813601475	2.04242456375325
"SLC39A9__pos"	1.0393842474184	3.85020714674185	0.160737781555776	10.1442497388261	2.22044604925031e-16
"SNAPC2__pos"	0.537440064465978	2.6328270110018	8.63931788140792	4.77427329179783	1.08663357735982
"SPARC__pos"	3.1355040474377	2.22044604925031e-16	3.73815820689276	3.72134534047508	7.22147530751388
"SPATA31A6__pos"	1.13040262674912	6.3649685546446	6.67817079797471	2.64263525924138	2.14499720038878
"SUFU__pos"	0.765884129317518	6.78332933150885	5.37678292062022	3.50182093827503	0.192205383454851
"SUMO4__pos"	2.22044604925031e-16	7.64852792566121	2.22044604925031e-16	8.65770453944962	0.730781953670633
"SYNPR__pos"	1.08788160104658e-14	6.03981262281692	10.1739727490401	0.874710873722543	1.88933506333557
"TM2D3__pos"	1.37940227587311	3.56290998495264	0.238356297491168	9.66363396428102	2.22044604925031e-16
"TMEM126A__pos"	3.7531762565106	2.22044604925031e-16	4.90894171101789	4.29236968130644	0.494331247684832
"TMEM248__pos"	2.47616891202956	1.9850847141215	2.22044604925031e-16	10.7482164741643	0.992141803669336
"TMEM260__pos"	2.22044604925031e-16	4.94858108408101	1.00306561499794	8.6090897429719	0.277788729327349
"TMEM50A__pos"	4.18486200778797	2.22044604925031e-16	2.22044604925031e-16	8.39062360049023	3.95092719213468
"TNFRSF11A__pos"	1.19151151006835	2.22044604925031e-16	4.86284446543913	9.18187837614307	1.46293323125445
"TNNC1__pos"	2.91820456223498	5.63770569135071	8.37867084749223	0.858987975402211	0.227378843433369
"TRIP13__pos"	1.89706862449097	2.39938780749427	5.42843982210542	4.61845212181867	2.22044604925031e-16
"TRPM4__pos"	1.30717877647714	2.22044604925031e-16	4.86199654818307	6.70555528144852	2.89081321046475
"TUBB6__pos"	4.35000916662344	2.22044604925031e-16	6.04547720147524	3.39483184240029	0.80942471507197
"TXNDC15__pos"	2.55173252010871	0.0921863764146776	2.80864309261779	6.95001365957689	4.46718837537199
"UBE2Q2__pos"	2.22044604925031e-16	2.36542375793016	4.13477375617479	8.36593460609443	1.59520078070408
"UCHL5__pos"	0.923013975070511	1.92592906398708	1.24452845244479	8.41736547248123	2.37278931609273
"USP17L13__pos"	3.66734038833307	4.55490160079899	5.81647819583969	2.46062592887533	2.69881068126201
"UXT__pos"	6.30569809959659	2.22044604925031e-16	7.15145818197486	4.65442519866278	2.22044604925031e-16
"VPS28__pos"	2.22044604925031e-16	4.23571805528431	8.5464766881878	2.72353920846069	2.87040068741511
