"LP01"	"LP02"	"LP03"	"LP04"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP12"	"LP15"	"LP55"	"LP56"	"LP60"	"LP62"	"LP63"	"LP64"	"LP65"	"LP82"	"LP112"	"LP115"	"LP25"	"LP27"	"LP28"	"LP32"	"LP33"	"LP34"	"LP35"	"LP39"	"LP40"	"LP41"	"LP42"	"LP43"	"LP44"	"LP45"	"LP46"	"LP48"	"LP49"	"LP67"	"LP79"	"LP90"	"LP91"	"LP92"	"LP94"	"LP95"	"LP96"	"LP97"	"LP100"	"LP103"	"LP106"	"LP108"	"LP109"	"LP110"
"TRPM6"	0.903155877237833	0.921821070613749	0.895888908794028	0.895576249044474	0.89986760335591	0.895532238340835	0.890556236171593	0.923921081649756	0.894898766862665	0.892407309662176	-0.617596195816235	0.891496078170331	0.886928883990365	0.899397925924301	0.921561812808443	0.886943206317116	-1.36024452884953	0.895682323147234	0.886414617661983	1.12254452786947	0.888461952992803	0.892533252285377	-1.36024452884953	0.886124966745249	0.890493814419397	-1.36024452884953	0.886577850531005	0.158644285792138	0.918552792046567	-1.36024452884953	0.156733057423376	-0.116612868163507	-0.15874313062809	-1.36024452884953	-1.36024452884953	-1.36024452884953	-1.36024452884953	0.888054783160466	0.887231440759205	0.909488123702195	0.886898179771056	0.899666897024917	0.895907001900878	0.919795390536518	-1.0830528533557	-0.978832511781113	-1.36024452884953	0.892665691182597	0.894623954126196	0.886537400676672	0.0643955232337014	-1.36024452884953	-0.747628997427634	-0.496575649057823
"PGM5"	0.52515878130176	0.789807059508399	0.970160452919864	1.64853299092507	1.43420905965625	0.719511810186432	1.00054116173511	1.96723775902621	1.40987372448425	1.05201856139934	1.27694382809276	-0.922838845204853	0.376010461286398	2.05859635359626	-0.54231177496601	1.09954980973946	-1.25017485774035	1.14455613985615	0.81137568000996	1.63405512347174	-0.998290372335301	-0.0179008965091194	0.847887543086449	0.763800950481084	-0.522188695581105	-0.751604124569529	-1.32675724831003	-1.05015722629832	-1.11138537402055	0.851830898679483	0.966707289496814	-1.50875546407378	-0.745876681770745	0.614173666619763	-0.590566134115077	-0.729329411554545	-1.22714446090774	-1.05629521787469	0.545896616178026	0.262875073979639	-0.641534660929057	0.949395138289531	0.338616619058462	0.405089032450219	-0.899691345276734	0.413667079135779	1.96772770098978	0.671198167287182	-0.737676922742606	0.436313896325319	0.484949540995351	2.16109763604227	0.388531163663985	1.24881908252377
"TNK1"	0.820729786496219	0.804038386147499	0.800971870628285	0.849325565929486	0.873224227990866	0.805270987014039	0.82088354504467	0.807427281104452	0.809089462836226	0.795106393708649	-0.398312153783045	0.899433378833328	0.802251638479028	0.932529996239012	0.79738276370461	0.584057950780889	0.787530902217173	0.53852921558321	0.768207660387559	0.972498724968693	0.239116270029133	0.786389529012541	0.487384157106581	-0.305832048519547	0.750185920643182	-1.39965592331155	-1.39965592331155	-1.39965592331155	-1.39965592331155	0.785815447253387	0.831942078836889	-1.39965592331155	-1.39965592331155	0.96228906099868	0.836835741695846	0.771677353519355	0.788844252437499	0.711992795094329	0.784927148966857	0.792750494231502	-1.39965592331155	-1.39965592331155	0.796467245033953	-1.39965592331155	-1.39965592331155	0.775446157950968	-1.39965592331155	0.768837628840547	-1.39965592331155	0.772082390175967	0.792123095302545	0.112868838252572	0.786089903692308	0.787123717889433
"MMP13"	0.941072413886182	0.993713079850256	0.941517537513815	0.940723808423685	0.965383029443672	0.941168133876192	0.941221945705957	0.952314127915771	0.942889237077541	0.947141062302452	0.940305921266449	0.940305921266449	0.940305921266449	1.03950188384574	1.01478624254527	-0.0205695184155672	0.940305921266449	0.940305921266449	0.940305921266449	-1.08617330858044	0.552692259906201	-1.08617330858044	-1.08617330858044	0.940305921266449	-1.08617330858044	-1.08617330858044	-1.08617330858044	-1.08617330858044	0.943057213985662	0.940305921266449	0.940305921266449	-1.08617330858044	0.940305921266449	0.940305921266449	0.941065320360246	0.940305921266449	0.940305921266449	0.940305921266449	-1.08617330858044	-1.08617330858044	0.940305921266449	0.940305921266449	0.940305921266449	-1.08617330858044	0.940305921266449	-0.405607441524141	1.17955165987956	-1.08617330858044	-1.08617330858044	-1.08617330858044	0.940305921266449	0.940305921266449	-1.08617330858044	0.940305921266449
"DLGAP2"	0.845571938410603	0.770990083230798	-0.107607025058564	0.847547924725143	1.09427974774991	0.726310141174438	-0.279210822703511	0.687763843741876	-0.273658169874182	0.670474566635367	-0.114987495473026	0.905561342485692	0.803383110659469	1.38158097559061	1.44899412024582	0.757992004941435	0.697350911254537	0.218561760769317	0.905286444574296	1.70996556353793	0.828819788464059	0.659446838849726	0.666239698752365	0.714937616828515	0.97725472153979	1.270836330376	-1.47185189815161	-1.39387694495471	0.72834076713485	1.18381567666359	-1.33558291373452	-1.46909819738806	1.07195622825503	-0.275703291844298	0.853152542253521	-0.862011366944736	-1.25877388706282	-1.22428901839537	0.834525334383189	0.718788114551411	-0.862807004853824	1.26694689102733	0.710134092277767	0.680521869829548	-0.99572874580101	0.660968652381323	-1.21401457998286	0.905911545543505	1.16161571673494	0.933884532055812	0.691212957280525	-1.18169873387412	0.65842188749993	-1.41295939383451
"EXOC3L1"	0.879004962709771	1.20215780409835	-0.0189510886376009	0.80000539901437	0.832463262693809	0.836643428763407	0.79270658569056	0.863059392366025	0.793592098282204	0.810924303933374	-0.157145716650496	-1.1509499447211	0.906501086769555	-1.11757880903446	0.975859425921341	1.36090740557364	0.98500329262878	1.06333216142588	0.828184183460863	1.96258184225605	0.817971450571881	0.795584943235343	0.793348434759067	-1.14281596727507	-0.720879232464017	-1.18701065519439	0.801470000447439	1.26252779000238	1.11270270465752	-1.14401631581648	0.849251748093179	-1.1861250676339	-1.14512345037452	0.895050940559957	1.03877377698523	-1.01949327695061	-1.10925849530656	1.48321910313672	-1.16786675932429	-1.18442621276237	0.816836001337686	-0.5872829798632	-1.05419342509531	0.793696276279568	-1.16978488425843	0.793711024228782	-0.967074938957914	0.811081095523102	-1.18526778334423	-1.17552823635501	0.79854531624806	-1.07672509168781	-1.17483608766052	0.807219117347405
"PEBP4"	0.945096317829303	0.94113423117791	0.940095270298754	0.941221331345167	0.952566144649339	0.944261717129081	-1.11269861167026	0.940434045635321	0.948235201516379	0.945335582781055	0.943572896638034	-1.11269861167026	-0.871027751381843	0.939536575802413	0.939536575802413	0.941586513045087	0.939536575802413	0.942972668857582	0.967412857140692	1.15221138136792	0.943511323168532	0.940371967915053	-1.11269861167026	-0.280726347987961	0.949052402847527	-1.11269861167026	-1.11269861167026	-1.11269861167026	-1.11269861167026	0.314382081548308	0.946757844609795	-1.11269861167026	0.156091934304422	0.939536575802413	0.98218787047429	0.939536575802413	0.939536575802413	0.939536575802413	-1.11269861167026	-1.11269861167026	-0.155459428075361	0.9684897876637	0.939536575802413	-1.11269861167026	-1.11269861167026	0.94221685370234	0.939536575802413	-1.11269861167026	-1.11269861167026	0.955137685936444	0.374534150509155	0.939536575802413	-1.11269861167026	0.939536575802413
"CASP6"	1.03699676045089	0.983360871650021	0.926288603457584	1.10177292448087	0.786122853779507	1.07635539607274	1.05177778556875	0.977585500003845	0.927551553684913	1.04102057970397	1.02918978515506	0.884259504269487	-0.863246258465859	1.23938738305748	-1.12156332991309	0.781164616512862	0.724490830496539	1.03032779739887	0.839805456774235	-1.25270142816453	0.738228035570397	0.864743859770125	-1.05119899247351	-1.02703674503313	0.863993132345513	-0.996827788879877	-0.895212088568732	-1.03932655133054	-1.15117154879708	-0.867443349822929	1.02603130748885	0.852480768022371	-1.08647454128699	1.09386004590332	-0.768753735582032	-0.685954504157657	-1.13523757319874	0.885396081977917	0.9289068870988	-1.05499566636743	-0.99863775174092	0.897107483403489	0.987972541133152	-0.924209665246237	-1.07499114628761	-0.862795386097901	2.25812425342979	0.839560879221717	-1.05651683161784	-0.619949530645054	-0.931902144962885	-1.15813140218331	0.976118682705089	0.724728211926512
"TTC23L"	0.906855093252226	0.934049289415303	0.00335300586020936	0.901661140156953	0.900343239486007	0.897913351338204	0.910805964969182	0.9053095562297	0.90093858579862	0.909529038587554	-0.144190559126643	0.891445279708197	-0.326566984693714	0.956870998547145	0.897275221994079	0.892185505906302	-1.29512781190161	0.929402847356254	0.905183081302985	1.10220029693882	0.898069595435058	0.902590947689472	0.891653083448063	-1.29512781190161	0.890751359842706	-1.29512781190161	-1.29512781190161	-1.29512781190161	0.890255119706992	0.892200874597232	0.893933721063119	-1.29512781190161	-1.29512781190161	-1.29512781190161	0.914313168891982	0.891264601402818	-1.29512781190161	0.918654614408336	0.910570208725577	-1.29512781190161	0.896442164687351	0.890851380198111	0.0331974502862444	0.902734517716375	-0.0165404592736446	0.8946080943119	-1.29512781190161	0.89134281545662	0.0515212555723505	0.171377244798152	-0.86898355404802	-1.29512781190161	0.903087550910643	0.903245401576926
"SLC22A13"	0.837198310110885	-1.29231333724995	0.844240905620913	0.835394745009069	0.868953895386774	0.843808301703512	0.846349370352874	0.840818416490532	0.835394745009069	0.861080001507575	0.852988733451634	-1.29231333724995	0.893741331040893	0.874783705585184	0.928066713048315	0.83785365788875	0.872138049980782	0.836879234707846	0.849430432390933	1.04869132616399	0.885993241294354	0.836242286860851	0.881506825270971	-1.29231333724995	-1.29231333724995	1.15763470465838	-1.29231333724995	1.00888354527658	-1.29231333724995	-0.708627291190735	0.874312923656626	-1.29231333724995	-0.264960928781466	0.468415167799643	-1.29231333724995	0.593913927831872	-0.491162607737491	0.275132729350908	-1.29231333724995	-1.29231333724995	0.880520047682009	0.862695130140106	0.915792884750312	-1.29231333724995	-1.29231333724995	0.842462757677917	0.835394745009069	-1.29231333724995	-1.29231333724995	-1.29231333724995	-0.72556008294552	0.0771382345332906	0.851341549246376	0.88894389518457
