"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"SULT1B1"	"SULT1B1"	0.937335833382401	-0.831595974918153	-1.16193290039428	0.908754264121811	0.159951537939434	-0.152059040667785	"IS01"	0.937335833382401
"SDF2"	"SDF2"	0.933160744711626	-0.0471591072081284	0.0383854088239144	-0.459771321269502	-1.60213192535946	0.47161846346944	"IS01"	0.933160744711626
"TTC13"	"TTC13"	0.931619308422348	-0.618421555681115	-0.323300506098755	-0.398991780926389	-0.796405821674504	0.480588281889721	"IS01"	0.931619308422348
"STXBP4"	"STXBP4"	0.929382437501175	-0.302160930477167	-0.168279176389799	0.0626556105496764	-1.11305484584564	0.14141281301366	"IS01"	0.929382437501175
"ANKRD10"	"ANKRD10"	0.928767126391658	-0.21306849314056	-1.0854063601125	0.0671510937093435	-0.537701146741684	0.430740782079636	"IS01"	0.928767126391658
"EID3"	"EID3"	0.924928002929248	-0.705438367279515	-0.252409531178704	-0.29061432707811	-0.782887685187103	0.402186663035283	"IS01"	0.924928002929248
"PNN"	"PNN"	0.922702248479252	0.270868635664296	-0.514372746552355	-0.831951529501294	-0.0236734747013828	-0.0170176202227522	"IS01"	0.922702248479252
"ZNF227"	"ZNF227"	0.910296207605441	-0.642051847974349	-0.459768268588171	-0.276734898894434	-1.01177038977547	0.674904036665922	"IS01"	0.910296207605441
"PAXBP1"	"PAXBP1"	0.909756423127799	0.393340672341958	-0.756300855798904	-0.753269815453275	-0.460992343915796	0.343839278764998	"IS01"	0.909756423127799
"UGCG"	"UGCG"	0.901359066890837	-0.819157652843958	-0.703315785352077	0.813227257438073	-0.713795063275353	0.125828692907578	"IS01"	0.901359066890837
"NOL10"	"NOL10"	0.90113794932078	-0.118184947944253	-0.0735875323375633	0.377655505661735	-1.37932871979244	-0.0127726227696672	"IS01"	0.90113794932078
"PRR3"	"PRR3"	0.893862670370593	0.25588343640615	-0.819955322287263	-0.244773728947888	-0.944510745310589	0.472988234552335	"IS01"	0.893862670370593
"POLR2D"	"POLR2D"	0.881009541638152	-0.305330231860044	-0.30978698535532	0.715642799447137	-1.64916632383969	0.240806466294782	"IS01"	0.881009541638152
"ZNF540"	"ZNF540"	0.876877104291945	-0.0598939133733065	-0.368068182815016	-0.415565041568567	-1.03477795081669	0.452979660296755	"IS01"	0.876877104291945
"CEBPG"	"CEBPG"	0.875761240724332	-1.29149502959492	-0.409125887228969	0.475512164538245	-0.656892285418993	0.312794020248414	"IS01"	0.875761240724332
"SLC33A1"	"SLC33A1"	0.874645101048999	-0.845170018855338	-0.377465936907552	-0.53217212422485	-0.225917567575777	0.400715169546332	"IS01"	0.874645101048999
"GLMN"	"GLMN"	0.87417706449902	0.184060942028378	-1.10966580382693	0.132781264606619	-0.608052212803995	0.31159191609928	"IS01"	0.87417706449902
