"IS01"	"IS02"	"IS03"
"MAPKAPK3__pos"	0.462706836143991	6.09386739547749	6.85624306614424
"MOB3C__pos"	2.22044604925031e-16	3.99110605985492	8.04656925053018
"MRPS15__pos"	2.22044604925031e-16	2.68233543655872	7.0853816867393
"MYO6__pos"	2.33570313833111	5.64498746618439	5.99828079981068
"NAPA__pos"	4.88023696798539	4.68656906447995	2.97224423925984
"NFIL3__pos"	2.22044604925031e-16	5.8765505193373	6.13255091790928
"OPN4__pos"	6.1945963861828	2.22044604925031e-16	10.3965704544993
"OR10J1__pos"	4.85524919097158	2.22044604925031e-16	11.4053074544765
"OR52E5__pos"	5.73691965001789	2.22044604925031e-16	10.7721697681353
"OST4__pos"	1.97029147423294	6.26912485861537	1.87075709728616
"OVOL2__pos"	4.76698589526493	0.377834076054096	11.07963388184
"PCDHGA12__pos"	2.22044604925031e-16	3.86970295445841	6.86702190829438
"PKM__pos"	1.2009778544929	2.74452863744349	5.36914475280282
"PPAN.P2RY11__pos"	2.22044604925031e-16	4.71219869478507	9.27845392055323
"PRDM15__pos"	2.22044604925031e-16	4.043961958395	7.51101055480948
"PRKAR1B__pos"	2.22044604925031e-16	5.2840451071325	6.82339157185254
"PRTG__pos"	0.139261078049809	4.95782813399621	9.31869906575337
"RABL3__pos"	3.09862851909254	4.86856929115472	5.65786983869575
"RACGAP1__pos"	0.361580280630383	3.56535645579777	5.23405116313765
"RASA4__pos"	2.22044604925031e-16	3.5267997486125	6.18335799838035
"RASSF7__pos"	2.22044604925031e-16	4.4390056322683	9.88104178826934
"RCBTB1__pos"	0.551476138449833	7.96760364555667	3.13704306795931
"RIMS3__pos"	2.34844844864327	5.30988383351486	6.64553042499717
"RMI1__pos"	2.75709376698303	6.58543645673186	4.98018054737507
"SCAI__pos"	2.22044604925031e-16	3.88157504198997	7.16453579694626
"SCO2__pos"	2.93029796328985	2.2229916588601	5.88087904549521
"SEC14L1__pos"	0.0660435741847804	7.23245512977475	1.09386913966101
"SERPINB11__pos"	5.24127656355459	2.22044604925031e-16	10.8842850000715
"SPANXN1__pos"	5.8136335225816	2.22044604925031e-16	10.7644843048752
"SPRY4__pos"	0.228664668755915	3.99215383505829	8.21386885749631
"SQSTM1__pos"	0.00439021599282036	7.76871283344108	0.946727737581357
"SRGN__pos"	3.46376231921921	6.20370019145219	2.48269675594764
"SUOX__pos"	2.22044604925031e-16	5.36383509494812	7.22832293965884
"TBPL1__pos"	0.0545146286025366	6.42139777149365	7.05759366857146
"TMBIM6__pos"	2.22044604925031e-16	5.5934003925285	3.0208454607921
"TMEM50A__pos"	2.75225199614803	3.87213211591155	0.558885025481602
"TMEM91__pos"	1.63923765527191	3.38655974239326	9.47852354149319
"UBE2Q2__pos"	6.67019695823524	2.20122412208692	4.40546558934429
"UBL4A__pos"	2.09849311034517	5.7936606807471	5.99415872030974
"VSIG2__pos"	1.06506671041234	3.83414733452337	9.45845970135366
"ZMYND12__pos"	0.00079655497236742	4.85455957785927	9.19805858866308
