"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"C19orf48__pos"	0.723969193545338	8.46822646269654	0.663358585031926	3.6155024494091	2.22044604925031e-16	0.0599831603299944
"COMMD9__pos"	4.54901250272641	4.21145535900396	2.30439220276094	0.666760821051812	2.50883121026604	2.22044604925031e-16
"HACD2__pos"	1.70614276880297	0.364195389472272	2.22044604925031e-16	4.58522495243601	3.15711492366398	5.62562372380913
"JCHAIN__pos"	3.00354782286863	5.0360043056353	0.740382850529036	0.351543841125187	1.05551240423543	0.757801018525839
"KIFC1__pos"	2.22044604925031e-16	5.97603010193921	3.44883406387139	5.60326086402433	2.22044604925031e-16	2.22044604925031e-16
"MZB1__pos"	2.59933990138904	10.0557865182175	2.22044604925031e-16	2.49065783474505	2.22044604925031e-16	2.22044604925031e-16
"NDC80__pos"	2.22044604925031e-16	6.15296405397271	4.93096761547471	1.55512606101464	2.40246713889313	2.22044604925031e-16
"PMEPA1__pos"	6.5870729022151	6.86642403206236	2.22044604925031e-16	2.21771729276533	2.22044604925031e-16	2.22044604925031e-16
"PRB1__pos"	2.22044604925031e-16	7.01475596179706	2.22044604925031e-16	4.15811632477564	4.94259386013928	1.56483492890351
"RRM2__pos"	0.134228307443528	8.40325244978348	0.129277150699304	2.22044604925031e-16	2.89949824092888	1.0592851317902
"S1PR2__pos"	1.08739727486248	7.41961862432843	2.22044604925031e-16	2.88706966259183	2.25138543721112	2.22044604925031e-16
"TMEM89__pos"	2.22044604925031e-16	8.25669278610554	2.22044604925031e-16	1.02980299039888	5.24123399386003	2.51175852476199
"TNFRSF17__pos"	5.3177074286158	6.23325926768133	1.27482311249851	2.22044604925031e-16	0.517158317077925	0.189518726798661
"ZSCAN31__pos"	2.1280059840546	6.56516363590441	2.02499736955689	4.54945297464807	0.347945888649644	2.22044604925031e-16
"AQP5__pos"	4.8416162619242	5.80744947720986	2.22044604925031e-16	1.43083229200161	5.20204981435735	3.3511198360484e-08
"CEP135__pos"	5.21640618395498	3.68674211669105	5.54449849395545	2.22044604925031e-16	2.22044604925031e-16	1.36579241296558e-06
"DLC1__pos"	3.62194436936163	6.33748513132373	2.22044604925031e-16	3.72037735436813	2.22044604925031e-16	2.31388116654256
"ESPL1__pos"	1.34274121600303	6.94605235629003	3.3900793000227	4.14895134209818	2.22044604925031e-16	2.22044604925031e-16
"GEN1__pos"	3.02088278170796	4.57559478360344	5.78767014932527	2.22044604925031e-16	2.22044604925031e-16	1.24687890128532
"MAST2__pos"	1.85972054712449	5.78946197415197	2.22044604925031e-16	6.94693305055859	2.22044604925031e-16	0.341067318210552
"MTERF3__pos"	3.77027139036781	4.51366310278235	2.22044604925031e-16	3.76554909345854	2.88689392930147	2.22044604925031e-16
"MYBL1__pos"	2.00816736455213	6.62546631431549	2.44830406221776	0.885100528243173	2.22044604925031e-16	3.206139657254
"PPP1R1B__pos"	3.03069378836326	5.90863553816962	2.22044604925031e-16	4.14684590671065	4.49433511608425	2.22044604925031e-16
"PTTG1__pos"	2.22044604925031e-16	5.19653149508588	2.24424221397575	2.22044604925031e-16	7.3400456047952	2.22044604925031e-16
"RFTN1__pos"	2.98684984608347	2.22044604925031e-16	0.563876076178298	2.22044604925031e-16	7.27907368139685	4.13066888474476
"RGS13__pos"	0.766971884657931	5.03872720407228	4.7819040782152	0.838477152458022	3.01295685780456	0.57628639431787
"SHCBP1__pos"	2.22044604925031e-16	7.22170412614817	2.0791762232278	2.22044604925031e-16	5.92296205110189	2.22044604925031e-16
"SPSB4__pos"	2.73148698341939	6.83657288676444	6.5880345395678e-07	2.36760119070563	3.73065927237947	2.22044604925031e-16
"BPIFB2__pos"	4.27178583527519	6.39032238901218	2.22044604925031e-16	1.355580520136	5.06810117394898	0.29142053339355
"CCNB2__pos"	2.13852815408406	6.70576219163827	0.877276612409163	3.37687417250806	1.33596567551312	2.22044604925031e-16
"HSP90B1__pos"	0.978624660443238	4.73365453906931	2.22044604925031e-16	5.93499873253634	3.52676226615112	2.22044604925031e-16
"KIF2C__pos"	0.43270472691925	7.72176768432181	1.48334993041125	4.12515536246115	2.43023353832864	2.22044604925031e-16
"SYCP2__pos"	3.98728697414639	4.66206412214896	4.63856354156668	2.22044604925031e-16	1.18914473210056	2.22044604925031e-16
"XBP1__pos"	0.718020578969516	7.30147915030488	2.45544463147019	1.48513676299684	2.02646667963655	2.22044604925031e-16
"ARHGAP42__pos"	6.18598599689467	6.06318598266889	3.22728369527184	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
