"IS01"	"IS02"	"IS03"
"MPP3__pos"	6.88288338278043	2.22044604925031e-16	4.09796894865587
"NRL__pos"	5.65836507498722	2.22044604925031e-16	5.77400125714708
"EMC9__pos"	6.03202315752262	2.22044604925031e-16	4.47413816002487
"HDAC8__pos"	6.08208363664898	2.22044604925031e-16	4.58887008146866
"NUP188__pos"	5.29751517044254	0.613934942659072	5.07245526593845
"MYCBPAP__pos"	6.50298126973138	2.22044604925031e-16	3.8723213341876
"FKTN__pos"	7.0271223635669	1.05801304510191	4.25630145461327
"AREL1__pos"	4.79870141180731	0.578247171290191	5.00105739102325
"UBE4B__pos"	4.87140520136968	1.50396485532785	4.95574707684055
"DDHD2__pos"	5.57089325562756	0.584488601591472	4.12676300257959
"CACNB1__pos"	5.82838547668481	2.22044604925031e-16	4.48482506935784
"IL17RC__pos"	5.14456233142073	2.22044604925031e-16	4.93312501372009
"CATSPER2__pos"	5.30612059891818	2.22044604925031e-16	5.36016257528657
"CD101__pos"	5.82022599696772	2.22044604925031e-16	5.36653414213641
"USP37__pos"	5.46794891193409	4.35186526530211e-05	4.40623001295314
"TP53I3__pos"	6.46928940875412	2.22044604925031e-16	4.6935820185097
"PHGDH__pos"	5.6433858696595	2.22044604925031e-16	4.27810964403483
"ELMOD3__pos"	5.33400704021985	1.95172910169388	3.97222429587031
"PFKFB4__pos"	5.80158490749548	2.22044604925031e-16	5.53629481473429
"PRDM5__pos"	6.94977407458019	0.419875293268391	3.60799593546098
"CACNA1A__pos"	6.58889982343017	0.112684967219938	4.00032628137125
"RNF121__pos"	6.22356705136774	0.00830292863805199	4.74257325400232
"DIRC3__pos"	6.36670630070962	2.22044604925031e-16	4.60629400878917
"PLXNA2__pos"	6.13792588804023	2.22044604925031e-16	4.23612270670128
"SIRPB1__pos"	5.42668402990204	0.160217750977678	4.40768989343002
"ABHD8__pos"	5.20578855519111	2.22044604925031e-16	4.71011652784771
"NFRKB__pos"	6.01234416722622	0.298711042249888	4.61812899411918
"SNUPN__pos"	6.74613652209734	2.22044604925031e-16	4.12358127604076
"CDHR1__pos"	5.92883973724068	2.22044604925031e-16	5.05354431458425
"BBS4__pos"	4.64501144424061	1.62503263161555	3.76077069648442
"DLG2__pos"	4.80641558784905	2.22044604925031e-16	5.18254587243286
"SPATA24__pos"	5.73906644962647	2.22044604925031e-16	5.29160832959767
"TMEM150A__pos"	5.67327485452769	2.22044604925031e-16	4.19393244592308
"ZNF788__pos"	5.66111494833311	0.0212601479399943	4.59042566252524
"SLC37A3__pos"	5.34267921213951	0.920144092867794	4.81646619198607
"SCRN3__pos"	4.92321273714276	0.0120298787237792	4.57636651214893
"MANF__pos"	4.93977480987455	2.22044604925031e-16	4.82105941585604
"EBPL__pos"	5.56879769332813	2.22044604925031e-16	4.37295375694604
"NUP93__pos"	5.46896687002933	1.03603985474054	4.47382502958553
"ABCB9__pos"	6.41549126343836	2.22044604925031e-16	4.56032471287599
"CAMK2B__pos"	6.70495078883424	2.22044604925031e-16	5.84371612447351
"UBXN8__pos"	5.2177023635564	2.22044604925031e-16	4.50045775710492
"WIPI1__pos"	4.93959751368113	1.34551269516871	3.65231148947862
"HHLA2__pos"	4.79434411137962	0.71165574775793	4.95236582512996
"RHPN2__pos"	6.70702172186704	2.22044604925031e-16	5.78655549962404
