"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"DEFB125"	"DEFB125"	1.4317804426794	0.0603274030015178	-1.51289812345272	"S02"	1.4317804426794	"IS01"
"LIPI"	"LIPI"	1.43062815076739	-0.121559154177074	-1.37862834887859	"S02"	1.43062815076739	"IS01"
"KBTBD13"	"KBTBD13"	1.42921990135793	-0.121863707942894	-1.37696088725975	"S02"	1.42921990135793	"IS01"
"ADGRF4"	"ADGRF4"	1.42791066729558	-0.0939510271488044	-1.39604175505086	"S02"	1.42791066729558	"IS01"
"CEACAM20"	"CEACAM20"	1.42764720021558	-0.241464074805487	-1.28783510760881	"S02"	1.42764720021558	"IS01"
"CASP14"	"CASP14"	1.42132427078723	-0.0194059886494093	-1.44383041521043	"S02"	1.42132427078723	"IS01"
"NECAB2"	"NECAB2"	1.41691967575705	-0.00354556776112907	-1.4509172576874	"S02"	1.41691967575705	"IS01"
"SYTL5"	"SYTL5"	1.41636649690221	-0.0615077907195455	-1.40793841035597	"S02"	1.41636649690221	"IS01"
"OR10G9"	"OR10G9"	1.41630339866611	-0.0905020333852961	-1.38665838309866	"S02"	1.41630339866611	"IS01"
"PRAMEF18"	"PRAMEF18"	1.41617802249072	-0.216343848447581	-1.29445039221319	"S02"	1.41617802249072	"IS01"
"PLA2G4D"	"PLA2G4D"	1.40952732304252	-0.076076562661242	-1.39026253804615	"S02"	1.40952732304252	"IS01"
"EVX2"	"EVX2"	1.40705472504536	-0.127045419628899	-1.35043179970831	"S02"	1.40705472504536	"IS01"
"OR6K3"	"OR6K3"	1.40353646430734	-0.101865671680716	-1.36524688582867	"S02"	1.40353646430734	"IS01"
"TULP2"	"TULP2"	1.40172419179766	-0.241822058364526	-1.26098069923876	"S02"	1.40172419179766	"IS01"
"SRRM4"	"SRRM4"	1.3978777318288	-0.134690449470085	-1.33542388669706	"S02"	1.3978777318288	"IS01"
"CPLX4"	"CPLX4"	1.3967678380452	-0.220076344225025	-1.27180784597927	"S02"	1.3967678380452	"IS01"
"MARCH4"	"MARCH4"	1.39252353251417	-0.353636442199552	-1.16972703045317	"S02"	1.39252353251417	"IS01"
"STMND1"	"STMND1"	1.38959472358742	-0.365410724544	-1.15810725659622	"S02"	1.38959472358742	"IS01"
"FAM170B"	"FAM170B"	1.38740132733403	-0.243960336150963	-1.24472335381182	"S02"	1.38740132733403	"IS01"
"CAPSL"	"CAPSL"	1.37947588570837	-0.0460966631311559	-1.38137153527202	"S02"	1.37947588570837	"IS01"
"ACRV1"	"ACRV1"	1.37570900124476	-0.0894792644210612	-1.34576400435475	"S02"	1.37570900124476	"IS01"
"KRTAP10.11"	"KRTAP10.11"	1.37474052794556	-0.0557440652654194	-1.36945481233244	"S02"	1.37474052794556	"IS01"
"HCRTR2"	"HCRTR2"	1.36983440355402	-0.115333775025015	-1.3208197608011	"S02"	1.36983440355402	"IS01"
"MUC22"	"MUC22"	1.36941774929128	0.0848871010312563	-1.46689542649814	"S02"	1.36941774929128	"IS01"
"ASCL4"	"ASCL4"	1.36637135218193	-0.375575518079815	-1.12684648865047	"S02"	1.36637135218193	"IS01"
"IAPP"	"IAPP"	1.36210550024456	-0.318961243793201	-1.16389554998612	"S02"	1.36210550024456	"IS01"
"FAM19A3"	"FAM19A3"	1.36093025065734	-0.204125997734197	-1.24671573941973	"S02"	1.36093025065734	"IS01"
"C1orf141"	"C1orf141"	1.35720690783807	-0.0425168130152917	-1.36114686437076	"S02"	1.35720690783807	"IS01"
"TAS1R1"	"TAS1R1"	1.35553196599479	-0.335758650240924	-1.14486146924448	"S02"	1.35553196599479	"IS01"
"LRRC9"	"LRRC9"	1.34869381544322	-0.196471801700756	-1.23976392994909	"S02"	1.34869381544322	"IS01"
"OR10H5"	"OR10H5"	1.34575348376201	-0.264255114582797	-1.18715011829643	"S02"	1.34575348376201	"IS01"
"RHCG"	"RHCG"	1.33973184235987	-0.364793449753582	-1.10740833273025	"S02"	1.33973184235987	"IS01"
"SLC7A14"	"SLC7A14"	1.33551443636054	-0.0707515511235851	-1.31823462112591	"S02"	1.33551443636054	"IS01"
"KRTAP10.5"	"KRTAP10.5"	1.32924237198046	-0.0694678458788187	-1.31273987742874	"S02"	1.32924237198046	"IS01"
"TRIM6.TRIM34"	"TRIM6.TRIM34"	1.3170710652267	-0.316251612922142	-1.11968075903415	"S02"	1.3170710652267	"IS01"
"IL22RA1"	"IL22RA1"	1.308867045008	-0.247181197760834	-1.16180419845437	"S02"	1.308867045008	"IS01"
"DUX4"	"DUX4"	1.30860836439415	-0.0904189897725263	-1.27624289204853	"S02"	1.30860836439415	"IS01"
"TMEM213"	"TMEM213"	1.30775007362828	-0.376170830414672	-1.06627572328944	"S02"	1.30775007362828	"IS01"
"MAGEA8"	"MAGEA8"	1.29413022472297	-0.0491167418959465	-1.29161201192251	"S02"	1.29413022472297	"IS01"
"RNF128"	"RNF128"	1.29306715777699	-0.236409026985508	-1.15347835587939	"S02"	1.29306715777699	"IS01"
"SH2D5"	"SH2D5"	1.29231340380261	-0.373784378151858	-1.05218658660175	"S02"	1.29231340380261	"IS01"
"GAL3ST3"	"GAL3ST3"	1.26637266420094	-0.0870502308234633	-1.23538140198523	"S02"	1.26637266420094	"IS01"
"TAAR9"	"TAAR9"	1.25940876002597	-0.0573527963167063	-1.24996748536162	"S02"	1.25940876002597	"IS01"
"CDH19"	"CDH19"	1.25514177742826	-0.287938441444276	-1.0768691043395	"S02"	1.25514177742826	"IS01"
"LRRC14B"	"LRRC14B"	1.24709217195896	-0.275471190764386	-1.07773399664393	"S02"	1.24709217195896	"IS01"
"PGA3"	"PGA3"	1.24364288911445	-0.284116582855109	-1.06786973954193	"S02"	1.24364288911445	"IS01"
